resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      7.676e-01      6.496e-01      5.476e-01      2.662e-01      1.800e-01      1.710e-01      7.929e-02      
2.000e-03      6.033e-01      4.584e-01      3.572e-01      1.432e-01      9.134e-02      8.500e-02      3.728e-02      
5.000e-03      6.033e-01      4.586e-01      3.573e-01      1.434e-01      9.124e-02      8.493e-02      3.729e-02      
1.000e-02      6.036e-01      4.590e-01      3.579e-01      1.438e-01      9.135e-02      8.496e-02      3.737e-02      
1.500e-02      6.045e-01      4.599e-01      3.592e-01      1.447e-01      9.184e-02      8.528e-02      3.753e-02      
2.000e-02      6.063e-01      4.618e-01      3.614e-01      1.463e-01      9.284e-02      8.600e-02      3.789e-02      
2.500e-02      6.089e-01      4.646e-01      3.646e-01      1.485e-01      9.433e-02      8.710e-02      3.842e-02      
3.000e-02      6.119e-01      4.679e-01      3.683e-01      1.511e-01      9.608e-02      8.840e-02      3.906e-02      
3.500e-02      6.150e-01      4.713e-01      3.720e-01      1.537e-01      9.785e-02      8.973e-02      3.970e-02      
4.000e-02      6.178e-01      4.744e-01      3.754e-01      1.561e-01      9.946e-02      9.095e-02      4.030e-02      
4.500e-02      6.202e-01      4.771e-01      3.782e-01      1.581e-01      1.008e-01      9.199e-02      4.081e-02      
5.000e-02      6.221e-01      4.792e-01      3.805e-01      1.596e-01      1.018e-01      9.280e-02      4.121e-02      
