resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.711e-01      7.757e-01      6.785e-01      3.542e-01      2.248e-01      2.194e-01      7.895e-02      
2.000e-03      8.490e-01      7.333e-01      6.229e-01      2.909e-01      1.803e-01      1.668e-01      4.952e-02      
5.000e-03      8.536e-01      7.408e-01      6.319e-01      2.997e-01      1.868e-01      1.735e-01      5.258e-02      
1.000e-02      8.533e-01      7.406e-01      6.319e-01      3.000e-01      1.862e-01      1.730e-01      5.154e-02      
1.500e-02      8.529e-01      7.403e-01      6.314e-01      3.004e-01      1.857e-01      1.717e-01      5.088e-02      
2.000e-02      8.527e-01      7.404e-01      6.312e-01      3.000e-01      1.832e-01      1.700e-01      5.040e-02      
2.500e-02      8.525e-01      7.409e-01      6.312e-01      2.993e-01      1.834e-01      1.687e-01      4.844e-02      
3.000e-02      8.542e-01      7.438e-01      6.342e-01      3.019e-01      1.868e-01      1.707e-01      4.839e-02      
3.500e-02      8.569e-01      7.472e-01      6.389e-01      3.057e-01      1.922e-01      1.739e-01      5.025e-02      
4.000e-02      8.599e-01      7.518e-01      6.444e-01      3.104e-01      1.955e-01      1.778e-01      5.197e-02      
4.500e-02      8.623e-01      7.559e-01      6.492e-01      3.144e-01      1.976e-01      1.809e-01      5.170e-02      
5.000e-02      8.643e-01      7.591e-01      6.548e-01      3.242e-01      2.081e-01      1.863e-01      5.564e-02      
