resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      7.676e-01      6.496e-01      5.476e-01      2.662e-01      1.800e-01      1.710e-01      7.929e-02      
2.000e-03      7.679e-01      6.498e-01      5.477e-01      2.663e-01      1.799e-01      1.708e-01      7.919e-02      
5.000e-03      7.679e-01      6.500e-01      5.478e-01      2.667e-01      1.798e-01      1.707e-01      7.921e-02      
1.000e-02      7.681e-01      6.504e-01      5.485e-01      2.674e-01      1.800e-01      1.708e-01      7.936e-02      
1.500e-02      7.688e-01      6.512e-01      5.499e-01      2.688e-01      1.809e-01      1.713e-01      7.969e-02      
2.000e-02      7.701e-01      6.529e-01      5.523e-01      2.714e-01      1.827e-01      1.726e-01      8.039e-02      
2.500e-02      7.721e-01      6.554e-01      5.557e-01      2.749e-01      1.853e-01      1.745e-01      8.143e-02      
3.000e-02      7.743e-01      6.583e-01      5.596e-01      2.790e-01      1.884e-01      1.768e-01      8.266e-02      
3.500e-02      7.765e-01      6.613e-01      5.635e-01      2.831e-01      1.914e-01      1.791e-01      8.390e-02      
4.000e-02      7.785e-01      6.639e-01      5.670e-01      2.868e-01      1.942e-01      1.811e-01      8.503e-02      
4.500e-02      7.802e-01      6.662e-01      5.699e-01      2.898e-01      1.965e-01      1.829e-01      8.597e-02      
5.000e-02      7.816e-01      6.680e-01      5.722e-01      2.922e-01      1.983e-01      1.841e-01      8.671e-02      
