resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.153e-01      7.105e-01      5.959e-01      5.124e-01      4.070e-01      3.020e-01      2.110e-01      2.234e-01      1.005e-01      
2.000e-03      6.729e-01      5.316e-01      4.079e-01      3.125e-01      2.296e-01      1.602e-01      9.902e-02      8.948e-02      3.109e-02      
5.000e-03      6.808e-01      5.300e-01      4.129e-01      3.181e-01      2.259e-01      1.596e-01      9.264e-02      8.675e-02      2.571e-02      
8.000e-03      6.917e-01      5.439e-01      4.272e-01      3.294e-01      2.375e-01      1.649e-01      9.560e-02      8.783e-02      2.465e-02      
1.000e-02      7.010e-01      5.557e-01      4.373e-01      3.399e-01      2.467e-01      1.710e-01      9.868e-02      9.074e-02      2.501e-02      
1.500e-02      7.211e-01      5.784e-01      4.591e-01      3.634e-01      2.679e-01      1.855e-01      1.073e-01      9.783e-02      2.667e-02      
2.000e-02      7.327e-01      5.899e-01      4.724e-01      3.781e-01      2.822e-01      1.938e-01      1.137e-01      1.007e-01      2.632e-02      
2.500e-02      7.388e-01      5.951e-01      4.795e-01      3.863e-01      2.904e-01      1.978e-01      1.169e-01      9.990e-02      2.409e-02      
3.000e-02      7.420e-01      5.973e-01      4.830e-01      3.907e-01      2.947e-01      1.993e-01      1.177e-01      9.571e-02      2.062e-02      
3.500e-02      7.437e-01      5.974e-01      4.840e-01      3.924e-01      2.964e-01      1.991e-01      1.167e-01      9.044e-02      1.682e-02      
4.000e-02      7.442e-01      5.920e-01      4.829e-01      3.917e-01      2.957e-01      1.972e-01      1.144e-01      8.468e-02      1.294e-02      
4.500e-02      7.436e-01      5.836e-01      4.797e-01      3.885e-01      2.925e-01      1.937e-01      1.109e-01      7.883e-02      9.157e-03      
5.000e-02      7.416e-01      5.755e-01      4.744e-01      3.834e-01      2.873e-01      1.886e-01      1.062e-01      7.317e-02      5.537e-03      
