resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.023e-01      7.310e-01      5.884e-01      3.137e-01      2.167e-01      2.517e-01      1.182e-01      
2.000e-03      7.023e-01      5.832e-01      4.362e-01      1.737e-01      1.174e-01      1.340e-01      6.473e-02      
5.000e-03      7.137e-01      5.867e-01      4.511e-01      1.813e-01      1.124e-01      1.250e-01      6.076e-02      
1.000e-02      7.510e-01      6.224e-01      4.888e-01      2.069e-01      1.281e-01      1.385e-01      6.036e-02      
1.500e-02      7.947e-01      6.692e-01      5.418e-01      2.482e-01      1.528e-01      1.548e-01      6.663e-02      
2.000e-02      8.349e-01      7.112e-01      5.988e-01      2.999e-01      1.882e-01      1.635e-01      7.277e-02      
2.500e-02      8.715e-01      7.524e-01      6.565e-01      3.596e-01      2.273e-01      1.676e-01      7.300e-02      
3.000e-02      9.041e-01      7.863e-01      7.153e-01      4.286e-01      2.754e-01      1.723e-01      7.704e-02      
3.500e-02      9.337e-01      8.047e-01      7.766e-01      5.146e-01      3.352e-01      1.782e-01      7.928e-02      
4.000e-02      9.601e-01      8.227e-01      8.358e-01      6.218e-01      4.134e-01      1.860e-01      8.315e-02      
4.500e-02      9.796e-01      8.410e-01      8.932e-01      7.408e-01      5.088e-01      1.965e-01      8.832e-02      
5.000e-02      9.932e-01      8.598e-01      9.416e-01      8.654e-01      6.169e-01      2.084e-01      9.423e-02      
