resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.445e-01      7.524e-01      6.299e-01      3.144e-01      2.063e-01      2.324e-01      1.063e-01      
2.000e-03      7.152e-01      5.786e-01      4.411e-01      1.747e-01      1.068e-01      1.195e-01      5.042e-02      
5.000e-03      7.249e-01      5.891e-01      4.532e-01      1.815e-01      1.116e-01      1.236e-01      5.230e-02      
1.000e-02      7.546e-01      6.215e-01      4.881e-01      2.048e-01      1.266e-01      1.332e-01      5.708e-02      
1.500e-02      7.931e-01      6.625e-01      5.358e-01      2.416e-01      1.501e-01      1.441e-01      6.197e-02      
2.000e-02      8.324e-01      7.055e-01      5.909e-01      2.903e-01      1.816e-01      1.538e-01      6.632e-02      
2.500e-02      8.691e-01      7.479e-01      6.495e-01      3.499e-01      2.208e-01      1.613e-01      6.974e-02      
3.000e-02      9.025e-01      7.820e-01      7.102e-01      4.215e-01      2.691e-01      1.677e-01      7.267e-02      
3.500e-02      9.326e-01      8.019e-01      7.725e-01      5.083e-01      3.299e-01      1.747e-01      7.594e-02      
4.000e-02      9.587e-01      8.213e-01      8.346e-01      6.134e-01      4.079e-01      1.834e-01      8.012e-02      
4.500e-02      9.797e-01      8.406e-01      8.927e-01      7.354e-01      5.061e-01      1.942e-01      8.544e-02      
5.000e-02      9.940e-01      8.591e-01      9.400e-01      8.625e-01      6.096e-01      2.070e-01      9.190e-02      
