resolution    Gd10Ba10Co80  Gd20Ba20Co60  Gd20Ba40Co40  Gd40Ba40Co20  
0.000e+00      8.268e-01      6.211e-01      4.038e-01      1.947e-01      
8.000e-04      7.138e-01      4.648e-01      2.673e-01      1.119e-01      
1.000e-03      6.819e-01      4.264e-01      2.377e-01      9.590e-02      
2.000e-03      6.681e-01      4.103e-01      2.256e-01      8.914e-02      
5.000e-03      6.771e-01      4.169e-01      2.306e-01      9.114e-02      
8.000e-03      6.924e-01      4.294e-01      2.410e-01      9.518e-02      
1.000e-02      7.023e-01      4.389e-01      2.495e-01      9.867e-02      
1.200e-02      7.109e-01      4.479e-01      2.578e-01      1.022e-01      
1.500e-02      7.212e-01      4.591e-01      2.686e-01      1.073e-01      
2.000e-02      7.322e-01      4.716e-01      2.817e-01      1.134e-01      
2.500e-02      7.383e-01      4.787e-01      2.898e-01      1.166e-01      
3.000e-02      7.416e-01      4.824e-01      2.942e-01      1.174e-01      
3.500e-02      7.434e-01      4.836e-01      2.960e-01      1.165e-01      
