resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      6.647e-01      5.189e-01      4.020e-01      3.143e-01      2.263e-01      1.619e-01      9.865e-02      1.026e-01      5.974e-02      
5.000e-03      6.748e-01      5.272e-01      4.136e-01      3.183e-01      2.312e-01      1.614e-01      9.412e-02      8.657e-02      2.328e-02      
8.000e-03      6.899e-01      5.428e-01      4.249e-01      3.308e-01      2.410e-01      1.665e-01      9.392e-02      9.210e-02      3.017e-02      
1.000e-02      6.987e-01      5.520e-01      4.346e-01      3.397e-01      2.459e-01      1.729e-01      9.515e-02      9.588e-02      3.037e-02      
1.500e-02      7.181e-01      5.718e-01      4.547e-01      3.594e-01      2.665e-01      1.825e-01      1.059e-01      9.772e-02      2.382e-02      
2.000e-02      7.290e-01      5.828e-01      4.666e-01      3.734e-01      2.790e-01      1.909e-01      1.099e-01      9.767e-02      2.442e-02      
2.500e-02      7.348e-01      5.872e-01      4.746e-01      3.807e-01      2.860e-01      1.934e-01      1.145e-01      9.793e-02      2.353e-02      
3.000e-02      7.377e-01      5.899e-01      4.771e-01      3.845e-01      2.910e-01      1.953e-01      1.141e-01      9.164e-02      1.903e-02      
3.500e-02      7.387e-01      5.899e-01      4.778e-01      3.870e-01      2.924e-01      1.959e-01      1.130e-01      8.782e-02      1.220e-02      
4.000e-02      7.392e-01      5.840e-01      4.759e-01      3.855e-01      2.910e-01      1.927e-01      1.110e-01      8.175e-02      9.551e-03      
4.500e-02      7.388e-01      5.750e-01      4.729e-01      3.826e-01      2.881e-01      1.884e-01      1.071e-01      7.431e-02      8.154e-03      
5.000e-02      7.361e-01      5.666e-01      4.669e-01      3.768e-01      2.821e-01      1.833e-01      1.017e-01      7.023e-02      4.105e-03      
