resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      5.778e-01      4.171e-01      3.087e-01      2.262e-01      1.531e-01      9.495e-02      4.965e-02      4.357e-02      2.258e-03      
5.000e-03      7.132e-01      5.768e-01      4.620e-01      3.591e-01      2.638e-01      1.822e-01      1.079e-01      1.068e-01      3.233e-02      
8.000e-03      6.788e-01      5.353e-01      4.188e-01      3.209e-01      2.317e-01      1.594e-01      9.107e-02      8.913e-02      2.413e-02      
1.000e-02      6.997e-01      5.547e-01      4.402e-01      3.435e-01      2.509e-01      1.750e-01      9.965e-02      9.557e-02      2.726e-02      
1.500e-02      7.016e-01      5.559e-01      4.379e-01      3.419e-01      2.491e-01      1.741e-01      9.646e-02      9.204e-02      2.406e-02      
2.000e-02      7.168e-01      5.720e-01      4.541e-01      3.583e-01      2.650e-01      1.848e-01      1.040e-01      9.700e-02      2.583e-02      
2.500e-02      7.247e-01      5.800e-01      4.623e-01      3.680e-01      2.742e-01      1.896e-01      1.090e-01      9.784e-02      2.455e-02      
3.000e-02      7.304e-01      5.858e-01      4.702e-01      3.774e-01      2.835e-01      1.950e-01      1.143e-01      9.925e-02      2.378e-02      
3.500e-02      7.337e-01      5.876e-01      4.754e-01      3.849e-01      2.919e-01      1.992e-01      1.192e-01      1.004e-01      2.314e-02      
4.000e-02      7.435e-01      5.977e-01      4.871e-01      3.965e-01      3.023e-01      2.051e-01      1.238e-01      1.006e-01      2.092e-02      
4.500e-02      7.442e-01      5.974e-01      4.885e-01      3.993e-01      3.053e-01      2.057e-01      1.244e-01      9.707e-02      1.843e-02      
5.000e-02      7.460e-01      5.960e-01      4.890e-01      3.997e-01      3.054e-01      2.039e-01      1.220e-01      9.189e-02      1.506e-02      
