resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      6.796e-01      5.346e-01      4.227e-01      3.248e-01      2.352e-01      1.583e-01      9.244e-02      8.926e-02      2.536e-02      
5.000e-03      6.721e-01      5.248e-01      4.117e-01      3.156e-01      2.277e-01      1.546e-01      8.781e-02      8.423e-02      2.224e-02      
8.000e-03      6.838e-01      5.361e-01      4.203e-01      3.244e-01      2.343e-01      1.619e-01      9.039e-02      8.641e-02      2.226e-02      
1.000e-02      6.926e-01      5.455e-01      4.282e-01      3.327e-01      2.411e-01      1.673e-01      9.304e-02      8.862e-02      2.270e-02      
1.500e-02      7.121e-01      5.663e-01      4.482e-01      3.530e-01      2.593e-01      1.795e-01      1.012e-01      9.397e-02      2.385e-02      
2.000e-02      7.247e-01      5.795e-01      4.626e-01      3.684e-01      2.738e-01      1.880e-01      1.083e-01      9.735e-02      2.375e-02      
2.500e-02      7.323e-01      5.862e-01      4.713e-01      3.780e-01      2.831e-01      1.929e-01      1.127e-01      9.805e-02      2.219e-02      
3.000e-02      7.362e-01      5.891e-01      4.758e-01      3.831e-01      2.881e-01      1.950e-01      1.142e-01      9.601e-02      1.953e-02      
3.500e-02      7.382e-01      5.902e-01      4.776e-01      3.857e-01      2.906e-01      1.955e-01      1.137e-01      9.192e-02      1.623e-02      
4.000e-02      7.394e-01      5.903e-01      4.780e-01      3.868e-01      2.915e-01      1.950e-01      1.123e-01      8.721e-02      1.273e-02      
4.500e-02      7.401e-01      5.877e-01      4.776e-01      3.869e-01      2.913e-01      1.937e-01      1.104e-01      8.208e-02      9.295e-03      
5.000e-02      7.403e-01      5.799e-01      4.762e-01      3.859e-01      2.902e-01      1.918e-01      1.080e-01      7.651e-02      5.995e-03      
