resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.153e-01      7.105e-01      5.959e-01      5.124e-01      4.070e-01      3.020e-01      2.110e-01      2.234e-01      1.005e-01      
2.000e-03      8.062e-01      6.887e-01      5.738e-01      4.713e-01      3.556e-01      2.635e-01      1.655e-01      1.622e-01      5.678e-02      
5.000e-03      8.282e-01      7.199e-01      6.158e-01      5.067e-01      3.962e-01      2.943e-01      1.928e-01      1.899e-01      7.256e-02      
8.000e-03      8.257e-01      7.178e-01      6.183e-01      5.076e-01      3.993e-01      2.954e-01      1.957e-01      1.924e-01      7.396e-02      
1.000e-02      8.254e-01      7.186e-01      6.173e-01      5.063e-01      3.976e-01      2.964e-01      1.939e-01      1.906e-01      7.267e-02      
1.500e-02      8.316e-01      7.286e-01      6.218e-01      5.146e-01      4.029e-01      3.053e-01      1.940e-01      1.953e-01      7.338e-02      
2.000e-02      8.392e-01      7.397e-01      6.329e-01      5.308e-01      4.191e-01      3.191e-01      1.993e-01      2.046e-01      7.875e-02      
2.500e-02      8.478e-01      7.515e-01      6.466e-01      5.454e-01      4.342e-01      3.323e-01      2.100e-01      2.136e-01      8.359e-02      
3.000e-02      8.497e-01      7.527e-01      6.502e-01      5.510e-01      4.394e-01      3.344e-01      2.164e-01      2.167e-01      8.533e-02      
3.500e-02      8.546e-01      7.571e-01      6.568e-01      5.602e-01      4.510e-01      3.430e-01      2.241e-01      2.211e-01      8.770e-02      
4.000e-02      8.606e-01      7.651e-01      6.684e-01      5.725e-01      4.648e-01      3.539e-01      2.361e-01      2.287e-01      8.923e-02      
4.500e-02      8.632e-01      7.696e-01      6.735e-01      5.793e-01      4.738e-01      3.600e-01      2.440e-01      2.282e-01      8.915e-02      
5.000e-02      8.623e-01      7.669e-01      6.697e-01      5.753e-01      4.709e-01      3.556e-01      2.373e-01      2.247e-01      8.828e-02      
