resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.023e-01      7.310e-01      5.884e-01      3.137e-01      2.167e-01      2.517e-01      1.182e-01      
2.000e-03      8.152e-01      7.224e-01      5.897e-01      2.747e-01      1.747e-01      2.079e-01      8.610e-02      
5.000e-03      8.347e-01      7.466e-01      6.305e-01      3.039e-01      2.051e-01      2.277e-01      1.067e-01      
1.000e-02      8.351e-01      7.451e-01      6.298e-01      3.084e-01      2.053e-01      2.259e-01      9.920e-02      
1.500e-02      8.390e-01      7.501e-01      6.302e-01      3.135e-01      2.031e-01      2.348e-01      1.033e-01      
2.000e-02      8.469e-01      7.630e-01      6.418e-01      3.249e-01      2.107e-01      2.464e-01      1.157e-01      
2.500e-02      8.504e-01      7.650e-01      6.510e-01      3.331e-01      2.132e-01      2.434e-01      1.110e-01      
3.000e-02      8.499e-01      7.689e-01      6.577e-01      3.391e-01      2.242e-01      2.508e-01      1.218e-01      
3.500e-02      8.723e-01      7.896e-01      6.822e-01      3.704e-01      2.526e-01      2.781e-01      1.407e-01      
4.000e-02      8.895e-01      8.107e-01      7.096e-01      4.054e-01      2.811e-01      3.025e-01      1.351e-01      
4.500e-02      8.900e-01      8.170e-01      7.153e-01      4.181e-01      2.890e-01      2.863e-01      1.284e-01      
5.000e-02      8.831e-01      7.966e-01      7.019e-01      4.010e-01      2.709e-01      2.605e-01      1.128e-01      
