resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.360e-01      7.274e-01      6.243e-01      5.232e-01      4.118e-01      3.048e-01      1.957e-01      1.906e-01      7.269e-02      
2.000e-03      8.107e-01      6.918e-01      5.846e-01      4.833e-01      3.735e-01      2.714e-01      1.691e-01      1.641e-01      5.962e-02      
5.000e-03      8.360e-01      7.277e-01      6.250e-01      5.239e-01      4.115e-01      3.039e-01      1.955e-01      1.917e-01      7.298e-02      
8.000e-03      8.365e-01      7.279e-01      6.245e-01      5.233e-01      4.122e-01      3.047e-01      1.950e-01      1.909e-01      7.347e-02      
1.000e-02      8.364e-01      7.280e-01      6.246e-01      5.237e-01      4.125e-01      3.048e-01      1.951e-01      1.912e-01      7.355e-02      
1.500e-02      8.354e-01      7.278e-01      6.250e-01      5.245e-01      4.123e-01      3.045e-01      1.959e-01      1.924e-01      7.326e-02      
2.000e-02      8.370e-01      7.303e-01      6.258e-01      5.257e-01      4.142e-01      3.072e-01      1.972e-01      1.936e-01      7.382e-02      
2.500e-02      8.409e-01      7.371e-01      6.323e-01      5.317e-01      4.202e-01      3.133e-01      2.021e-01      1.988e-01      7.518e-02      
3.000e-02      8.429e-01      7.395e-01      6.350e-01      5.357e-01      4.252e-01      3.172e-01      2.059e-01      2.014e-01      7.696e-02      
3.500e-02      8.480e-01      7.455e-01      6.433e-01      5.447e-01      4.358e-01      3.263e-01      2.130e-01      2.070e-01      7.963e-02      
4.000e-02      8.547e-01      7.553e-01      6.556e-01      5.590e-01      4.508e-01      3.388e-01      2.250e-01      2.163e-01      8.233e-02      
4.500e-02      8.580e-01      7.613e-01      6.624e-01      5.673e-01      4.620e-01      3.478e-01      2.335e-01      2.172e-01      8.330e-02      
5.000e-02      8.583e-01      7.603e-01      6.607e-01      5.655e-01      4.604e-01      3.451e-01      2.289e-01      2.160e-01      8.343e-02      
