resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.445e-01      7.524e-01      6.299e-01      3.144e-01      2.063e-01      2.324e-01      1.063e-01      
2.000e-03      8.235e-01      7.219e-01      5.968e-01      2.835e-01      1.836e-01      2.084e-01      9.375e-02      
5.000e-03      8.457e-01      7.524e-01      6.334e-01      3.133e-01      2.070e-01      2.341e-01      1.064e-01      
1.000e-02      8.462e-01      7.529e-01      6.350e-01      3.150e-01      2.080e-01      2.337e-01      1.071e-01      
1.500e-02      8.449e-01      7.525e-01      6.351e-01      3.148e-01      2.085e-01      2.342e-01      1.069e-01      
2.000e-02      8.476e-01      7.570e-01      6.379e-01      3.191e-01      2.108e-01      2.385e-01      1.095e-01      
2.500e-02      8.485e-01      7.575e-01      6.409e-01      3.232e-01      2.129e-01      2.348e-01      1.072e-01      
3.000e-02      8.527e-01      7.619e-01      6.474e-01      3.328e-01      2.194e-01      2.430e-01      1.113e-01      
3.500e-02      8.688e-01      7.840e-01      6.728e-01      3.610e-01      2.421e-01      2.675e-01      1.252e-01      
4.000e-02      8.837e-01      8.054e-01      6.984e-01      3.925e-01      2.697e-01      2.900e-01      1.361e-01      
4.500e-02      8.872e-01      8.076e-01      7.033e-01      4.024e-01      2.761e-01      2.738e-01      1.272e-01      
5.000e-02      8.806e-01      7.903e-01      6.895e-01      3.890e-01      2.612e-01      2.469e-01      1.126e-01      
