resolution    Gd10Ba10Co80  Gd20Ba20Co60  Gd20Ba40Co40  Gd40Ba40Co20  
0.000e+00      8.268e-01      6.211e-01      4.038e-01      1.947e-01      
8.000e-04      8.147e-01      5.997e-01      3.826e-01      1.793e-01      
1.000e-03      8.173e-01      6.040e-01      3.860e-01      1.824e-01      
2.000e-03      8.275e-01      6.203e-01      4.042e-01      1.945e-01      
5.000e-03      8.274e-01      6.209e-01      4.040e-01      1.944e-01      
8.000e-03      8.272e-01      6.199e-01      4.024e-01      1.939e-01      
1.000e-02      8.265e-01      6.183e-01      4.006e-01      1.928e-01      
1.200e-02      8.261e-01      6.168e-01      3.985e-01      1.913e-01      
1.500e-02      8.275e-01      6.159e-01      3.975e-01      1.907e-01      
2.000e-02      8.319e-01      6.211e-01      4.034e-01      1.924e-01      
2.500e-02      8.367e-01      6.282e-01      4.141e-01      1.957e-01      
3.000e-02      8.454e-01      6.427e-01      4.317e-01      2.069e-01      
3.500e-02      8.473e-01      6.470e-01      4.372e-01      2.129e-01      
