resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      8.202e-01      7.141e-01      6.071e-01      5.006e-01      3.908e-01      2.909e-01      1.849e-01      1.827e-01      7.282e-02      
5.000e-03      8.260e-01      7.204e-01      6.170e-01      5.108e-01      4.013e-01      2.966e-01      1.905e-01      1.894e-01      7.122e-02      
8.000e-03      8.259e-01      7.201e-01      6.141e-01      5.092e-01      3.974e-01      2.971e-01      1.892e-01      1.941e-01      8.455e-02      
1.000e-02      8.237e-01      7.168e-01      6.130e-01      5.071e-01      3.965e-01      2.949e-01      1.857e-01      1.817e-01      7.274e-02      
1.500e-02      8.280e-01      7.206e-01      6.119e-01      5.071e-01      3.994e-01      2.922e-01      1.846e-01      1.934e-01      7.336e-02      
2.000e-02      8.320e-01      7.305e-01      6.212e-01      5.207e-01      4.086e-01      3.074e-01      1.809e-01      1.909e-01      7.938e-02      
2.500e-02      8.423e-01      7.401e-01      6.367e-01      5.293e-01      4.250e-01      3.217e-01      1.911e-01      2.156e-01      7.908e-02      
3.000e-02      8.456e-01      7.490e-01      6.423e-01      5.397e-01      4.317e-01      3.326e-01      2.043e-01      1.961e-01      8.524e-02      
3.500e-02      8.528e-01      7.458e-01      6.471e-01      5.495e-01      4.394e-01      3.379e-01      2.168e-01      2.239e-01      5.232e-02      
4.000e-02      8.581e-01      7.555e-01      6.581e-01      5.557e-01      4.507e-01      3.408e-01      2.254e-01      2.180e-01      6.427e-02      
4.500e-02      8.591e-01      7.630e-01      6.721e-01      5.692e-01      4.585e-01      3.561e-01      2.235e-01      2.314e-01      9.553e-02      
5.000e-02      8.528e-01      7.681e-01      6.678e-01      5.794e-01      4.747e-01      3.544e-01      2.379e-01      2.050e-01      1.312e-01      
