resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      7.549e-01      6.019e-01      4.720e-01      3.614e-01      2.546e-01      1.687e-01      8.799e-02      7.798e-02      2.358e-03      
5.000e-03      8.556e-01      7.671e-01      6.658e-01      5.642e-01      4.515e-01      3.467e-01      2.288e-01      2.394e-01      9.214e-02      
8.000e-03      8.124e-01      7.046e-01      5.964e-01      4.856e-01      3.752e-01      2.772e-01      1.758e-01      1.807e-01      6.417e-02      
1.000e-02      8.421e-01      7.441e-01      6.467e-01      5.429e-01      4.336e-01      3.275e-01      2.127e-01      2.126e-01      8.156e-02      
1.500e-02      8.334e-01      7.329e-01      6.278e-01      5.211e-01      4.108e-01      3.044e-01      2.020e-01      2.010e-01      7.574e-02      
2.000e-02      8.306e-01      7.226e-01      6.243e-01      5.173e-01      4.094e-01      3.014e-01      2.027e-01      1.999e-01      8.624e-02      
2.500e-02      8.151e-01      6.966e-01      5.936e-01      4.933e-01      3.807e-01      2.783e-01      1.561e-01      1.568e-01      4.056e-02      
3.000e-02      8.267e-01      7.209e-01      6.208e-01      5.210e-01      4.128e-01      3.125e-01      2.028e-01      2.088e-01      9.079e-02      
3.500e-02      8.243e-01      7.166e-01      6.164e-01      5.177e-01      4.194e-01      3.292e-01      2.327e-01      2.159e-01      1.075e-01      
4.000e-02      8.224e-01      7.173e-01      6.124e-01      5.045e-01      3.993e-01      3.086e-01      2.049e-01      2.171e-01      1.063e-01      
4.500e-02      8.282e-01      7.237e-01      6.209e-01      5.205e-01      4.120e-01      3.071e-01      1.919e-01      1.831e-01      5.897e-02      
5.000e-02      8.229e-01      6.988e-01      5.917e-01      4.898e-01      3.723e-01      2.675e-01      1.440e-01      1.441e-01      3.061e-02      
