resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      8.302e-01      7.262e-01      6.218e-01      5.153e-01      4.043e-01      3.010e-01      1.914e-01      1.938e-01      7.053e-02      
5.000e-03      8.266e-01      7.218e-01      6.176e-01      5.115e-01      4.018e-01      2.967e-01      1.892e-01      1.911e-01      6.903e-02      
8.000e-03      8.258e-01      7.201e-01      6.162e-01      5.091e-01      3.992e-01      2.965e-01      1.881e-01      1.893e-01      6.794e-02      
1.000e-02      8.246e-01      7.179e-01      6.140e-01      5.062e-01      3.970e-01      2.961e-01      1.864e-01      1.886e-01      6.716e-02      
1.500e-02      8.287e-01      7.224e-01      6.161e-01      5.101e-01      3.990e-01      2.997e-01      1.873e-01      1.897e-01      6.784e-02      
2.000e-02      8.291e-01      7.248e-01      6.173e-01      5.156e-01      4.042e-01      3.036e-01      1.863e-01      1.916e-01      6.966e-02      
2.500e-02      8.365e-01      7.320e-01      6.271e-01      5.243e-01      4.113e-01      3.084e-01      1.916e-01      1.994e-01      7.497e-02      
3.000e-02      8.386e-01      7.301e-01      6.364e-01      5.409e-01      4.323e-01      3.293e-01      2.169e-01      2.087e-01      8.798e-02      
3.500e-02      8.543e-01      7.605e-01      6.623e-01      5.576e-01      4.417e-01      3.299e-01      1.981e-01      1.857e-01      4.335e-02      
4.000e-02      8.351e-01      7.335e-01      6.285e-01      5.278e-01      4.213e-01      3.112e-01      2.002e-01      1.794e-01      4.235e-02      
4.500e-02      8.359e-01      7.356e-01      6.257e-01      5.258e-01      4.159e-01      2.980e-01      1.832e-01      1.695e-01      2.154e-02      
5.000e-02      8.411e-01      7.352e-01      6.339e-01      5.300e-01      4.140e-01      3.084e-01      1.966e-01      2.322e-01      1.243e-01      
