resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.153e-01      7.105e-01      5.959e-01      5.124e-01      4.070e-01      3.020e-01      2.110e-01      2.234e-01      1.005e-01      
2.000e-03      8.303e-01      7.303e-01      6.205e-01      5.123e-01      4.112e-01      3.090e-01      2.110e-01      2.054e-01      8.736e-02      
5.000e-03      8.365e-01      7.309e-01      6.265e-01      5.204e-01      4.071e-01      3.110e-01      2.027e-01      2.021e-01      7.862e-02      
8.000e-03      8.440e-01      7.431e-01      6.406e-01      5.342e-01      4.234e-01      3.211e-01      2.099e-01      2.060e-01      7.823e-02      
1.000e-02      8.501e-01      7.525e-01      6.504e-01      5.464e-01      4.360e-01      3.311e-01      2.162e-01      2.125e-01      8.046e-02      
1.500e-02      8.633e-01      7.704e-01      6.707e-01      5.729e-01      4.641e-01      3.549e-01      2.332e-01      2.280e-01      8.744e-02      
2.000e-02      8.712e-01      7.799e-01      6.837e-01      5.896e-01      4.832e-01      3.699e-01      2.466e-01      2.360e-01      9.045e-02      
2.500e-02      8.756e-01      7.850e-01      6.913e-01      5.997e-01      4.952e-01      3.786e-01      2.549e-01      2.384e-01      8.984e-02      
3.000e-02      8.784e-01      7.879e-01      6.959e-01      6.059e-01      5.027e-01      3.838e-01      2.594e-01      2.338e-01      8.580e-02      
3.500e-02      8.804e-01      7.894e-01      6.986e-01      6.097e-01      5.072e-01      3.865e-01      2.613e-01      2.270e-01      8.067e-02      
4.000e-02      8.818e-01      7.884e-01      6.995e-01      6.111e-01      5.087e-01      3.870e-01      2.610e-01      2.192e-01      7.509e-02      
4.500e-02      8.825e-01      7.836e-01      6.988e-01      6.101e-01      5.073e-01      3.849e-01      2.584e-01      2.110e-01      6.948e-02      
5.000e-02      8.825e-01      7.790e-01      6.966e-01      6.073e-01      5.038e-01      3.804e-01      2.535e-01      2.028e-01      6.402e-02      
