resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.023e-01      7.310e-01      5.884e-01      3.137e-01      2.167e-01      2.517e-01      1.182e-01      
2.000e-03      8.371e-01      7.559e-01      6.289e-01      3.141e-01      2.264e-01      2.594e-01      1.354e-01      
5.000e-03      8.451e-01      7.596e-01      6.436e-01      3.256e-01      2.181e-01      2.448e-01      1.280e-01      
1.000e-02      8.687e-01      7.863e-01      6.774e-01      3.627e-01      2.441e-01      2.674e-01      1.265e-01      
1.500e-02      8.948e-01      8.186e-01      7.218e-01      4.188e-01      2.835e-01      2.938e-01      1.393e-01      
2.000e-02      9.176e-01      8.465e-01      7.664e-01      4.832e-01      3.383e-01      3.075e-01      1.516e-01      
2.500e-02      9.374e-01      8.723e-01      8.082e-01      5.518e-01      3.940e-01      3.136e-01      1.523e-01      
3.000e-02      9.543e-01      8.961e-01      8.477e-01      6.233e-01      4.576e-01      3.219e-01      1.599e-01      
3.500e-02      9.692e-01      9.080e-01      8.862e-01      7.024e-01      5.305e-01      3.316e-01      1.638e-01      
4.000e-02      9.821e-01      9.184e-01      9.202e-01      7.888e-01      6.163e-01      3.439e-01      1.710e-01      
4.500e-02      9.912e-01      9.289e-01      9.516e-01      8.711e-01      7.084e-01      3.610e-01      1.826e-01      
5.000e-02      9.973e-01      9.390e-01      9.765e-01      9.452e-01      8.048e-01      3.786e-01      1.943e-01      
