resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.360e-01      7.274e-01      6.243e-01      5.232e-01      4.118e-01      3.048e-01      1.957e-01      1.906e-01      7.269e-02      
2.000e-03      8.369e-01      7.284e-01      6.252e-01      5.245e-01      4.131e-01      3.061e-01      1.961e-01      1.917e-01      7.311e-02      
5.000e-03      8.404e-01      7.337e-01      6.310e-01      5.307e-01      4.195e-01      3.110e-01      2.004e-01      1.958e-01      7.494e-02      
8.000e-03      8.459e-01      7.420e-01      6.399e-01      5.403e-01      4.295e-01      3.194e-01      2.073e-01      2.020e-01      7.732e-02      
1.000e-02      8.501e-01      7.480e-01      6.464e-01      5.475e-01      4.372e-01      3.261e-01      2.128e-01      2.068e-01      7.902e-02      
1.500e-02      8.597e-01      7.618e-01      6.620e-01      5.652e-01      4.567e-01      3.433e-01      2.268e-01      2.176e-01      8.271e-02      
2.000e-02      8.672e-01      7.720e-01      6.747e-01      5.802e-01      4.737e-01      3.580e-01      2.389e-01      2.256e-01      8.487e-02      
2.500e-02      8.724e-01      7.791e-01      6.840e-01      5.917e-01      4.868e-01      3.690e-01      2.479e-01      2.297e-01      8.493e-02      
3.000e-02      8.761e-01      7.838e-01      6.905e-01      6.000e-01      4.962e-01      3.767e-01      2.538e-01      2.271e-01      8.207e-02      
3.500e-02      8.789e-01      7.866e-01      6.947e-01      6.053e-01      5.022e-01      3.814e-01      2.570e-01      2.221e-01      7.797e-02      
4.000e-02      8.807e-01      7.863e-01      6.968e-01      6.078e-01      5.051e-01      3.832e-01      2.577e-01      2.155e-01      7.311e-02      
4.500e-02      8.818e-01      7.820e-01      6.969e-01      6.078e-01      5.048e-01      3.821e-01      2.560e-01      2.082e-01      6.798e-02      
5.000e-02      8.821e-01      7.779e-01      6.952e-01      6.058e-01      5.021e-01      3.785e-01      2.517e-01      2.007e-01      6.291e-02      
