resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.445e-01      7.524e-01      6.299e-01      3.144e-01      2.063e-01      2.324e-01      1.063e-01      
2.000e-03      8.465e-01      7.533e-01      6.332e-01      3.155e-01      2.075e-01      2.340e-01      1.068e-01      
5.000e-03      8.527e-01      7.613e-01      6.448e-01      3.255e-01      2.157e-01      2.410e-01      1.105e-01      
1.000e-02      8.710e-01      7.853e-01      6.763e-01      3.592e-01      2.410e-01      2.586e-01      1.207e-01      
1.500e-02      8.939e-01      8.141e-01      7.168e-01      4.098e-01      2.793e-01      2.766e-01      1.303e-01      
2.000e-02      9.162e-01      8.427e-01      7.604e-01      4.719e-01      3.281e-01      2.923e-01      1.389e-01      
2.500e-02      9.361e-01      8.696e-01      8.033e-01      5.413e-01      3.851e-01      3.044e-01      1.455e-01      
3.000e-02      9.535e-01      8.947e-01      8.445e-01      6.163e-01      4.500e-01      3.147e-01      1.513e-01      
3.500e-02      9.687e-01      9.065e-01      8.835e-01      6.970e-01      5.248e-01      3.260e-01      1.579e-01      
4.000e-02      9.814e-01      9.178e-01      9.197e-01      7.821e-01      6.109e-01      3.400e-01      1.663e-01      
4.500e-02      9.913e-01      9.286e-01      9.513e-01      8.672e-01      7.064e-01      3.571e-01      1.769e-01      
5.000e-02      9.976e-01      9.388e-01      9.761e-01      9.432e-01      8.026e-01      3.771e-01      1.897e-01      
