resolution    Gd10Ba10Co80  Gd20Ba20Co60  Gd20Ba40Co40  Gd40Ba40Co20  
0.000e+00      8.268e-01      6.211e-01      4.038e-01      1.947e-01      
8.000e-04      8.563e-01      6.710e-01      4.573e-01      2.336e-01      
1.000e-03      8.375e-01      6.376e-01      4.207e-01      2.067e-01      
2.000e-03      8.292e-01      6.231e-01      4.056e-01      1.954e-01      
5.000e-03      8.350e-01      6.302e-01      4.134e-01      2.005e-01      
8.000e-03      8.447e-01      6.423e-01      4.277e-01      2.089e-01      
1.000e-02      8.511e-01      6.515e-01      4.392e-01      2.159e-01      
1.200e-02      8.567e-01      6.600e-01      4.503e-01      2.230e-01      
1.500e-02      8.635e-01      6.706e-01      4.647e-01      2.330e-01      
2.000e-02      8.709e-01      6.830e-01      4.826e-01      2.460e-01      
2.500e-02      8.754e-01      6.907e-01      4.945e-01      2.543e-01      
3.000e-02      8.782e-01      6.955e-01      5.022e-01      2.590e-01      
3.500e-02      8.803e-01      6.983e-01      5.068e-01      2.610e-01      
