resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      8.263e-01      7.238e-01      6.175e-01      5.166e-01      4.089e-01      3.096e-01      2.099e-01      2.257e-01      1.328e-01      
5.000e-03      8.334e-01      7.300e-01      6.277e-01      5.219e-01      4.149e-01      3.126e-01      2.025e-01      2.009e-01      7.846e-02      
8.000e-03      8.435e-01      7.427e-01      6.382e-01      5.363e-01      4.279e-01      3.224e-01      2.067e-01      2.105e-01      8.376e-02      
1.000e-02      8.488e-01      7.506e-01      6.479e-01      5.460e-01      4.359e-01      3.325e-01      2.104e-01      2.178e-01      8.721e-02      
1.500e-02      8.620e-01      7.658e-01      6.669e-01      5.688e-01      4.625e-01      3.513e-01      2.301e-01      2.259e-01      8.389e-02      
2.000e-02      8.690e-01      7.751e-01      6.791e-01      5.847e-01      4.794e-01      3.660e-01      2.406e-01      2.294e-01      8.589e-02      
2.500e-02      8.733e-01      7.796e-01      6.868e-01      5.941e-01      4.903e-01      3.733e-01      2.506e-01      2.330e-01      8.778e-02      
3.000e-02      8.758e-01      7.827e-01      6.908e-01      6.002e-01      4.974e-01      3.788e-01      2.535e-01      2.256e-01      8.153e-02      
3.500e-02      8.776e-01      7.841e-01      6.932e-01      6.043e-01      5.026e-01      3.818e-01      2.554e-01      2.215e-01      7.267e-02      
4.000e-02      8.790e-01      7.831e-01      6.942e-01      6.053e-01      5.034e-01      3.808e-01      2.552e-01      2.140e-01      6.826e-02      
4.500e-02      8.798e-01      7.778e-01      6.933e-01      6.040e-01      5.018e-01      3.778e-01      2.513e-01      2.027e-01      6.557e-02      
5.000e-02      8.795e-01      7.728e-01      6.904e-01      6.006e-01      4.978e-01      3.736e-01      2.461e-01      1.960e-01      5.989e-02      
