resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      7.781e-01      6.500e-01      5.308e-01      4.199e-01      3.118e-01      2.165e-01      1.302e-01      1.297e-01      3.471e-02      
5.000e-03      8.562e-01      7.660e-01      6.690e-01      5.649e-01      4.537e-01      3.443e-01      2.279e-01      2.348e-01      9.117e-02      
8.000e-03      8.350e-01      7.352e-01      6.308e-01      5.240e-01      4.138e-01      3.105e-01      1.994e-01      2.048e-01      7.470e-02      
1.000e-02      8.476e-01      7.496e-01      6.501e-01      5.479e-01      4.385e-01      3.333e-01      2.143e-01      2.153e-01      8.049e-02      
1.500e-02      8.502e-01      7.521e-01      6.497e-01      5.479e-01      4.381e-01      3.346e-01      2.115e-01      2.134e-01      7.771e-02      
2.000e-02      8.596e-01      7.643e-01      6.646e-01      5.657e-01      4.585e-01      3.515e-01      2.255e-01      2.236e-01      8.297e-02      
2.500e-02      8.654e-01      7.715e-01      6.734e-01      5.774e-01      4.718e-01      3.615e-01      2.361e-01      2.287e-01      8.426e-02      
3.000e-02      8.693e-01      7.765e-01      6.810e-01      5.883e-01      4.844e-01      3.715e-01      2.466e-01      2.334e-01      8.553e-02      
3.500e-02      8.715e-01      7.781e-01      6.857e-01      5.961e-01      4.947e-01      3.790e-01      2.558e-01      2.366e-01      8.610e-02      
4.000e-02      8.782e-01      7.867e-01      6.973e-01      6.095e-01      5.091e-01      3.902e-01      2.661e-01      2.403e-01      8.550e-02      
4.500e-02      8.793e-01      7.874e-01      6.996e-01      6.135e-01      5.137e-01      3.931e-01      2.691e-01      2.355e-01      8.191e-02      
5.000e-02      8.814e-01      7.885e-01      7.019e-01      6.161e-01      5.165e-01      3.941e-01      2.689e-01      2.293e-01      7.739e-02      
