resolution    Gd10Ba10Co80  Gd20Ba10Co70  Gd20Ba20Co60  Gd20Ba30Co50  Gd20Ba40Co40  Gd30Ba40Co30  Gd40Ba40Co20  Gd70Ba10Co20  Gd80Ba10Co10  
0.000e+00      8.249e-01      7.188e-01      6.174e-01      5.110e-01      4.009e-01      2.942e-01      1.893e-01      1.918e-01      6.925e-02      
2.000e-03      8.362e-01      7.354e-01      6.343e-01      5.286e-01      4.178e-01      3.095e-01      2.007e-01      2.035e-01      7.573e-02      
5.000e-03      8.315e-01      7.280e-01      6.250e-01      5.188e-01      4.092e-01      3.041e-01      1.939e-01      1.958e-01      7.054e-02      
8.000e-03      8.390e-01      7.373e-01      6.335e-01      5.288e-01      4.188e-01      3.156e-01      1.997e-01      2.017e-01      7.220e-02      
1.000e-02      8.448e-01      7.445e-01      6.412e-01      5.380e-01      4.279e-01      3.244e-01      2.052e-01      2.068e-01      7.434e-02      
1.500e-02      8.574e-01      7.612e-01      6.603e-01      5.612e-01      4.524e-01      3.449e-01      2.213e-01      2.196e-01      7.991e-02      
2.000e-02      8.658e-01      7.718e-01      6.742e-01      5.786e-01      4.718e-01      3.601e-01      2.355e-01      2.282e-01      8.308e-02      
2.500e-02      8.711e-01      7.778e-01      6.832e-01      5.900e-01      4.850e-01      3.698e-01      2.452e-01      2.322e-01      8.325e-02      
3.000e-02      8.743e-01      7.811e-01      6.885e-01      5.970e-01      4.932e-01      3.754e-01      2.506e-01      2.321e-01      8.113e-02      
3.500e-02      8.763e-01      7.833e-01      6.916e-01      6.015e-01      4.983e-01      3.789e-01      2.532e-01      2.273e-01      7.693e-02      
4.000e-02      8.779e-01      7.846e-01      6.936e-01      6.044e-01      5.017e-01      3.808e-01      2.541e-01      2.213e-01      7.221e-02      
4.500e-02      8.792e-01      7.852e-01      6.950e-01      6.063e-01      5.036e-01      3.817e-01      2.539e-01      2.143e-01      6.724e-02      
5.000e-02      8.803e-01      7.807e-01      6.955e-01      6.071e-01      5.045e-01      3.816e-01      2.528e-01      2.061e-01      6.204e-02      
