resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.901e-01      0.000e+00      8.828e-01      6.989e-01      5.510e-01      4.514e-01      3.809e-01      2.188e-01      
2.000e-03      9.858e-01      0.000e+00      8.899e-01      6.941e-01      4.927e-01      3.809e-01      3.270e-01      1.663e-01      
5.000e-03      9.833e-01      0.000e+00      8.959e-01      6.952e-01      4.983e-01      3.745e-01      3.088e-01      1.250e-01      
1.000e-02      9.783e-01      0.000e+00      8.918e-01      7.033e-01      5.084e-01      3.911e-01      3.199e-01      1.169e-01      
1.500e-02      9.733e-01      0.000e+00      8.854e-01      7.091e-01      5.225e-01      4.024e-01      3.302e-01      1.213e-01      
2.000e-02      9.671e-01      0.000e+00      8.786e-01      7.044e-01      5.285e-01      4.101e-01      3.350e-01      1.258e-01      
2.500e-02      9.599e-01      0.000e+00      8.715e-01      6.966e-01      5.279e-01      4.129e-01      3.360e-01      1.287e-01      
3.000e-02      9.517e-01      0.000e+00      8.641e-01      6.906e-01      5.221e-01      4.117e-01      3.347e-01      1.304e-01      
3.500e-02      9.426e-01      0.000e+00      8.562e-01      6.854e-01      5.162e-01      4.080e-01      3.318e-01      1.310e-01      
4.000e-02      9.328e-01      0.000e+00      8.474e-01      6.801e-01      5.116e-01      4.054e-01      3.286e-01      1.310e-01      
4.500e-02      9.224e-01      0.000e+00      8.377e-01      6.742e-01      5.072e-01      4.032e-01      3.265e-01      1.305e-01      
5.000e-02      9.118e-01      3.306e-05      8.273e-01      6.676e-01      5.025e-01      4.009e-01      3.247e-01      1.307e-01      
