resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.901e-01      0.000e+00      8.828e-01      6.989e-01      5.510e-01      4.514e-01      3.809e-01      2.188e-01      
2.000e-03      9.862e-01      0.000e+00      8.898e-01      6.943e-01      4.934e-01      3.814e-01      3.314e-01      1.690e-01      
5.000e-03      9.835e-01      0.000e+00      8.956e-01      6.954e-01      4.983e-01      3.751e-01      3.092e-01      1.269e-01      
1.000e-02      9.786e-01      0.000e+00      8.918e-01      7.033e-01      5.085e-01      3.910e-01      3.206e-01      1.183e-01      
1.500e-02      9.733e-01      0.000e+00      8.854e-01      7.092e-01      5.225e-01      4.030e-01      3.310e-01      1.225e-01      
2.000e-02      9.671e-01      0.000e+00      8.786e-01      7.046e-01      5.287e-01      4.103e-01      3.352e-01      1.265e-01      
2.500e-02      9.599e-01      0.000e+00      8.715e-01      6.967e-01      5.279e-01      4.132e-01      3.363e-01      1.291e-01      
3.000e-02      9.517e-01      0.000e+00      8.641e-01      6.908e-01      5.224e-01      4.118e-01      3.350e-01      1.306e-01      
3.500e-02      9.426e-01      0.000e+00      8.562e-01      6.856e-01      5.164e-01      4.084e-01      3.321e-01      1.316e-01      
4.000e-02      9.328e-01      0.000e+00      8.474e-01      6.801e-01      5.117e-01      4.056e-01      3.288e-01      1.313e-01      
4.500e-02      9.225e-01      0.000e+00      8.378e-01      6.741e-01      5.072e-01      4.034e-01      3.267e-01      1.313e-01      
5.000e-02      9.117e-01      0.000e+00      8.274e-01      6.677e-01      5.026e-01      4.011e-01      3.250e-01      1.312e-01      
