resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.993e-01      0.000e+00      9.022e-01      7.169e-01      5.040e-01      3.915e-01      3.066e-01      1.546e-01      
2.000e-03      9.992e-01      0.000e+00      8.967e-01      6.959e-01      4.824e-01      3.686e-01      2.884e-01      1.341e-01      
5.000e-03      9.991e-01      0.000e+00      9.010e-01      6.945e-01      4.844e-01      3.696e-01      2.858e-01      1.223e-01      
8.000e-03      9.990e-01      4.046e-04      9.028e-01      7.026e-01      4.976e-01      3.784e-01      3.022e-01      1.182e-01      
1.000e-02      9.989e-01      2.420e-03      9.048e-01      7.105e-01      5.102e-01      3.881e-01      3.139e-01      1.205e-01      
1.500e-02      9.978e-01      1.263e-02      9.102e-01      7.299e-01      5.383e-01      4.189e-01      3.428e-01      1.361e-01      
2.000e-02      9.956e-01      2.564e-02      9.134e-01      7.429e-01      5.589e-01      4.438e-01      3.660e-01      1.552e-01      
2.500e-02      9.921e-01      3.888e-02      9.140e-01      7.505e-01      5.732e-01      4.621e-01      3.832e-01      1.721e-01      
3.000e-02      9.875e-01      5.146e-02      9.122e-01      7.540e-01      5.826e-01      4.751e-01      3.957e-01      1.864e-01      
3.500e-02      9.818e-01      6.300e-02      9.085e-01      7.546e-01      5.884e-01      4.840e-01      4.048e-01      1.985e-01      
4.000e-02      9.750e-01      7.334e-02      9.032e-01      7.529e-01      5.911e-01      4.897e-01      4.112e-01      2.085e-01      
4.500e-02      9.674e-01      8.252e-02      8.966e-01      7.493e-01      5.913e-01      4.928e-01      4.153e-01      2.167e-01      
5.000e-02      9.588e-01      9.065e-02      8.887e-01      7.442e-01      5.894e-01      4.936e-01      4.175e-01      2.233e-01      
