resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.869e-01      0.000e+00      8.997e-01      7.147e-01      5.111e-01      3.922e-01      3.305e-01      1.505e-01      
2.000e-03      9.855e-01      0.000e+00      8.934e-01      6.946e-01      4.949e-01      3.709e-01      3.140e-01      1.378e-01      
5.000e-03      9.838e-01      0.000e+00      8.961e-01      6.942e-01      4.985e-01      3.757e-01      3.064e-01      1.240e-01      
1.000e-02      9.787e-01      0.000e+00      8.920e-01      7.033e-01      5.086e-01      3.919e-01      3.204e-01      1.178e-01      
1.500e-02      9.736e-01      0.000e+00      8.857e-01      7.091e-01      5.227e-01      4.030e-01      3.304e-01      1.224e-01      
2.000e-02      9.674e-01      0.000e+00      8.788e-01      7.044e-01      5.286e-01      4.101e-01      3.354e-01      1.266e-01      
2.500e-02      9.602e-01      0.000e+00      8.719e-01      6.967e-01      5.279e-01      4.130e-01      3.364e-01      1.293e-01      
3.000e-02      9.520e-01      0.000e+00      8.645e-01      6.909e-01      5.222e-01      4.118e-01      3.352e-01      1.309e-01      
3.500e-02      9.430e-01      0.000e+00      8.565e-01      6.857e-01      5.166e-01      4.082e-01      3.320e-01      1.313e-01      
4.000e-02      9.331e-01      0.000e+00      8.478e-01      6.805e-01      5.119e-01      4.058e-01      3.290e-01      1.316e-01      
4.500e-02      9.229e-01      0.000e+00      8.382e-01      6.747e-01      5.076e-01      4.037e-01      3.270e-01      1.308e-01      
5.000e-02      9.122e-01      2.031e-04      8.278e-01      6.681e-01      5.029e-01      4.015e-01      3.253e-01      1.314e-01      
