resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.901e-01      0.000e+00      8.828e-01      6.989e-01      5.510e-01      4.514e-01      3.809e-01      2.188e-01      
2.000e-03      9.882e-01      0.000e+00      8.946e-01      7.126e-01      5.205e-01      4.218e-01      3.552e-01      2.147e-01      
5.000e-03      9.876e-01      0.000e+00      8.980e-01      7.109e-01      5.149e-01      3.973e-01      3.553e-01      1.842e-01      
1.000e-02      9.869e-01      0.000e+00      9.010e-01      7.083e-01      5.168e-01      3.905e-01      3.214e-01      1.444e-01      
1.500e-02      9.861e-01      0.000e+00      9.039e-01      6.980e-01      5.040e-01      3.882e-01      3.105e-01      1.321e-01      
2.000e-02      9.852e-01      0.000e+00      9.010e-01      6.956e-01      4.961e-01      3.875e-01      3.100e-01      1.225e-01      
2.500e-02      9.824e-01      0.000e+00      8.960e-01      6.898e-01      4.931e-01      3.792e-01      3.131e-01      1.149e-01      
3.000e-02      9.825e-01      0.000e+00      8.947e-01      6.926e-01      4.985e-01      3.794e-01      3.118e-01      1.084e-01      
3.500e-02      9.784e-01      0.000e+00      8.910e-01      6.986e-01      5.051e-01      3.821e-01      3.173e-01      1.108e-01      
4.000e-02      9.802e-01      0.000e+00      8.900e-01      6.997e-01      5.089e-01      3.882e-01      3.255e-01      1.184e-01      
4.500e-02      9.802e-01      0.000e+00      8.855e-01      7.002e-01      5.110e-01      3.900e-01      3.299e-01      1.226e-01      
5.000e-02      9.761e-01      0.000e+00      8.806e-01      6.916e-01      5.076e-01      3.912e-01      3.306e-01      1.234e-01      
