resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.993e-01      0.000e+00      9.022e-01      7.169e-01      5.040e-01      3.915e-01      3.066e-01      1.546e-01      
1.000e-03      9.997e-01      1.994e-02      9.090e-01      7.156e-01      5.163e-01      4.259e-01      3.359e-01      1.711e-01      
2.000e-03      9.997e-01      9.825e-03      9.044e-01      7.071e-01      5.060e-01      4.102e-01      3.196e-01      1.582e-01      
5.000e-03      9.996e-01      4.267e-04      9.028e-01      7.114e-01      5.029e-01      3.914e-01      3.105e-01      1.487e-01      
8.000e-03      9.992e-01      0.000e+00      9.040e-01      7.108e-01      5.017e-01      3.869e-01      3.010e-01      1.443e-01      
1.000e-02      9.989e-01      0.000e+00      9.054e-01      7.061e-01      4.988e-01      3.871e-01      2.964e-01      1.405e-01      
1.200e-02      9.991e-01      0.000e+00      9.057e-01      7.030e-01      4.961e-01      3.808e-01      2.967e-01      1.386e-01      
1.500e-02      9.979e-01      0.000e+00      9.051e-01      6.990e-01      4.998e-01      3.772e-01      3.033e-01      1.289e-01      
2.000e-02      9.974e-01      0.000e+00      9.002e-01      6.952e-01      4.968e-01      3.740e-01      3.087e-01      1.216e-01      
2.500e-02      9.962e-01      0.000e+00      8.960e-01      6.903e-01      4.942e-01      3.785e-01      3.143e-01      1.114e-01      
3.000e-02      9.930e-01      0.000e+00      8.952e-01      6.943e-01      5.000e-01      3.799e-01      3.120e-01      1.094e-01      
3.500e-02      9.816e-01      0.000e+00      8.910e-01      6.972e-01      5.028e-01      3.802e-01      3.162e-01      1.100e-01      
4.000e-02      9.765e-01      0.000e+00      8.887e-01      6.957e-01      5.019e-01      3.815e-01      3.193e-01      1.155e-01      
4.500e-02      9.681e-01      0.000e+00      8.851e-01      6.940e-01      5.017e-01      3.826e-01      3.223e-01      1.177e-01      
5.000e-02      9.545e-01      0.000e+00      8.736e-01      6.916e-01      5.031e-01      3.881e-01      3.268e-01      1.206e-01      
