resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.901e-01      0.000e+00      8.828e-01      6.989e-01      5.510e-01      4.514e-01      3.809e-01      2.188e-01      
2.000e-03      9.866e-01      0.000e+00      8.966e-01      7.104e-01      5.123e-01      3.958e-01      3.486e-01      1.764e-01      
5.000e-03      9.859e-01      0.000e+00      8.994e-01      7.153e-01      5.103e-01      3.901e-01      3.326e-01      1.504e-01      
1.000e-02      9.867e-01      0.000e+00      9.033e-01      7.025e-01      5.086e-01      3.881e-01      3.137e-01      1.334e-01      
1.500e-02      9.849e-01      0.000e+00      9.030e-01      7.000e-01      4.993e-01      3.903e-01      3.129e-01      1.215e-01      
2.000e-02      9.832e-01      0.000e+00      8.999e-01      6.949e-01      4.980e-01      3.831e-01      3.135e-01      1.144e-01      
2.500e-02      9.810e-01      0.000e+00      8.962e-01      6.994e-01      5.050e-01      3.854e-01      3.173e-01      1.138e-01      
3.000e-02      9.799e-01      0.000e+00      8.936e-01      7.001e-01      5.086e-01      3.880e-01      3.232e-01      1.193e-01      
3.500e-02      9.822e-01      0.000e+00      8.953e-01      7.021e-01      5.034e-01      3.842e-01      3.231e-01      1.174e-01      
4.000e-02      9.833e-01      0.000e+00      8.901e-01      6.982e-01      5.076e-01      3.882e-01      3.254e-01      1.161e-01      
4.500e-02      9.803e-01      0.000e+00      8.847e-01      6.962e-01      5.062e-01      3.865e-01      3.286e-01      1.184e-01      
5.000e-02      9.759e-01      0.000e+00      8.797e-01      6.951e-01      5.065e-01      3.932e-01      3.278e-01      1.285e-01      
