resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.993e-01      0.000e+00      9.022e-01      7.169e-01      5.040e-01      3.915e-01      3.066e-01      1.546e-01      
2.000e-03      9.998e-01      1.009e-02      9.055e-01      7.107e-01      5.123e-01      4.118e-01      3.211e-01      1.577e-01      
5.000e-03      9.996e-01      7.829e-04      9.037e-01      7.102e-01      5.018e-01      3.914e-01      3.058e-01      1.476e-01      
8.000e-03      9.991e-01      0.000e+00      9.063e-01      7.056e-01      4.981e-01      3.846e-01      2.925e-01      1.392e-01      
1.000e-02      9.995e-01      0.000e+00      9.064e-01      7.027e-01      4.964e-01      3.798e-01      2.952e-01      1.344e-01      
1.500e-02      9.980e-01      0.000e+00      9.029e-01      7.004e-01      4.949e-01      3.778e-01      3.032e-01      1.226e-01      
2.000e-02      9.988e-01      0.000e+00      8.990e-01      6.958e-01      4.981e-01      3.756e-01      3.110e-01      1.147e-01      
2.500e-02      9.967e-01      0.000e+00      8.978e-01      6.988e-01      5.046e-01      3.845e-01      3.167e-01      1.100e-01      
3.000e-02      9.894e-01      0.000e+00      8.943e-01      7.019e-01      5.083e-01      3.845e-01      3.192e-01      1.126e-01      
3.500e-02      9.840e-01      0.000e+00      8.925e-01      7.008e-01      5.077e-01      3.853e-01      3.220e-01      1.163e-01      
4.000e-02      9.773e-01      0.000e+00      8.905e-01      6.989e-01      5.081e-01      3.861e-01      3.238e-01      1.178e-01      
4.500e-02      9.664e-01      0.000e+00      8.824e-01      6.957e-01      5.060e-01      3.869e-01      3.253e-01      1.178e-01      
5.000e-02      9.537e-01      0.000e+00      8.737e-01      6.932e-01      5.054e-01      3.884e-01      3.262e-01      1.188e-01      
