resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.869e-01      0.000e+00      8.997e-01      7.147e-01      5.111e-01      3.922e-01      3.305e-01      1.505e-01      
2.000e-03      9.892e-01      0.000e+00      9.002e-01      7.143e-01      5.117e-01      3.905e-01      3.333e-01      1.480e-01      
5.000e-03      9.870e-01      0.000e+00      9.001e-01      7.125e-01      5.127e-01      3.856e-01      3.291e-01      1.462e-01      
1.000e-02      9.867e-01      0.000e+00      9.035e-01      7.079e-01      5.148e-01      3.866e-01      3.180e-01      1.321e-01      
1.500e-02      9.812e-01      0.000e+00      8.994e-01      7.040e-01      5.069e-01      3.917e-01      3.350e-01      1.584e-01      
2.000e-02      9.835e-01      0.000e+00      8.963e-01      6.906e-01      4.885e-01      3.957e-01      3.438e-01      1.735e-01      
2.500e-02      9.810e-01      0.000e+00      8.930e-01      6.862e-01      4.844e-01      4.154e-01      2.895e-01      1.786e-01      
3.000e-02      9.644e-01      0.000e+00      8.784e-01      7.078e-01      5.213e-01      3.862e-01      3.604e-01      1.709e-01      
3.500e-02      9.723e-01      0.000e+00      8.706e-01      7.109e-01      5.331e-01      4.088e-01      3.449e-01      1.454e-01      
4.000e-02      9.692e-01      0.000e+00      8.660e-01      6.807e-01      5.624e-01      3.885e-01      3.569e-01      2.065e-01      
4.500e-02      9.551e-01      0.000e+00      8.534e-01      6.899e-01      5.218e-01      4.245e-01      3.837e-01      2.099e-01      
5.000e-02      9.747e-01      0.000e+00      8.726e-01      7.125e-01      5.370e-01      5.018e-01      4.144e-01      2.364e-01      
