resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.869e-01      0.000e+00      8.997e-01      7.147e-01      5.111e-01      3.922e-01      3.305e-01      1.505e-01      
2.000e-03      9.866e-01      0.000e+00      9.006e-01      7.140e-01      5.109e-01      3.872e-01      3.277e-01      1.446e-01      
5.000e-03      9.865e-01      0.000e+00      9.007e-01      7.117e-01      5.126e-01      3.870e-01      3.248e-01      1.445e-01      
1.000e-02      9.867e-01      0.000e+00      9.035e-01      7.026e-01      5.082e-01      3.870e-01      3.134e-01      1.341e-01      
1.500e-02      9.848e-01      0.000e+00      9.029e-01      7.004e-01      4.986e-01      3.894e-01      3.117e-01      1.226e-01      
2.000e-02      9.830e-01      0.000e+00      8.990e-01      6.958e-01      4.981e-01      3.832e-01      3.162e-01      1.147e-01      
2.500e-02      9.823e-01      0.000e+00      8.978e-01      6.989e-01      5.047e-01      3.845e-01      3.167e-01      1.100e-01      
3.000e-02      9.803e-01      0.000e+00      8.943e-01      7.018e-01      5.082e-01      3.844e-01      3.193e-01      1.126e-01      
3.500e-02      9.814e-01      0.000e+00      8.925e-01      7.009e-01      5.077e-01      3.854e-01      3.220e-01      1.163e-01      
4.000e-02      9.812e-01      0.000e+00      8.906e-01      6.990e-01      5.081e-01      3.862e-01      3.238e-01      1.180e-01      
4.500e-02      9.794e-01      0.000e+00      8.848e-01      6.958e-01      5.060e-01      3.869e-01      3.253e-01      1.178e-01      
5.000e-02      9.770e-01      0.000e+00      8.812e-01      6.933e-01      5.054e-01      3.885e-01      3.262e-01      1.188e-01      
