resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.901e-01      0.000e+00      8.828e-01      6.989e-01      5.510e-01      4.514e-01      3.809e-01      2.188e-01      
2.000e-03      9.870e-01      0.000e+00      8.972e-01      7.106e-01      5.144e-01      3.973e-01      3.457e-01      1.807e-01      
5.000e-03      9.844e-01      0.000e+00      9.026e-01      7.130e-01      5.166e-01      3.912e-01      3.235e-01      1.363e-01      
1.000e-02      9.799e-01      0.000e+00      8.984e-01      7.199e-01      5.265e-01      4.068e-01      3.351e-01      1.270e-01      
1.500e-02      9.749e-01      0.000e+00      8.921e-01      7.240e-01      5.405e-01      4.187e-01      3.455e-01      1.313e-01      
2.000e-02      9.692e-01      0.000e+00      8.856e-01      7.178e-01      5.457e-01      4.264e-01      3.495e-01      1.351e-01      
2.500e-02      9.624e-01      0.000e+00      8.789e-01      7.103e-01      5.436e-01      4.282e-01      3.501e-01      1.376e-01      
3.000e-02      9.547e-01      0.000e+00      8.720e-01      7.046e-01      5.370e-01      4.259e-01      3.482e-01      1.391e-01      
3.500e-02      9.462e-01      0.000e+00      8.645e-01      6.998e-01      5.314e-01      4.224e-01      3.446e-01      1.391e-01      
4.000e-02      9.371e-01      0.000e+00      8.563e-01      6.947e-01      5.274e-01      4.205e-01      3.421e-01      1.387e-01      
4.500e-02      9.274e-01      0.000e+00      8.473e-01      6.893e-01      5.235e-01      4.190e-01      3.408e-01      1.391e-01      
5.000e-02      9.174e-01      1.151e-03      8.376e-01      6.834e-01      5.195e-01      4.175e-01      3.401e-01      1.401e-01      
