resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.869e-01      0.000e+00      8.997e-01      7.147e-01      5.111e-01      3.922e-01      3.305e-01      1.505e-01      
2.000e-03      9.864e-01      0.000e+00      9.013e-01      7.135e-01      5.123e-01      3.877e-01      3.265e-01      1.420e-01      
5.000e-03      9.845e-01      0.000e+00      9.034e-01      7.121e-01      5.159e-01      3.908e-01      3.208e-01      1.313e-01      
1.000e-02      9.799e-01      0.000e+00      8.985e-01      7.197e-01      5.265e-01      4.067e-01      3.347e-01      1.253e-01      
1.500e-02      9.752e-01      0.000e+00      8.923e-01      7.240e-01      5.404e-01      4.183e-01      3.448e-01      1.298e-01      
2.000e-02      9.695e-01      0.000e+00      8.858e-01      7.177e-01      5.455e-01      4.258e-01      3.494e-01      1.342e-01      
2.500e-02      9.627e-01      0.000e+00      8.792e-01      7.103e-01      5.436e-01      4.279e-01      3.498e-01      1.371e-01      
3.000e-02      9.550e-01      0.000e+00      8.723e-01      7.048e-01      5.369e-01      4.257e-01      3.479e-01      1.384e-01      
3.500e-02      9.466e-01      0.000e+00      8.648e-01      6.999e-01      5.316e-01      4.222e-01      3.443e-01      1.387e-01      
4.000e-02      9.374e-01      0.000e+00      8.566e-01      6.951e-01      5.276e-01      4.204e-01      3.421e-01      1.383e-01      
4.500e-02      9.277e-01      0.000e+00      8.477e-01      6.897e-01      5.239e-01      4.191e-01      3.409e-01      1.384e-01      
5.000e-02      9.178e-01      1.385e-03      8.380e-01      6.837e-01      5.199e-01      4.177e-01      3.401e-01      1.397e-01      
