resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.869e-01      0.000e+00      8.997e-01      7.147e-01      5.111e-01      3.922e-01      3.305e-01      1.505e-01      
2.000e-03      9.863e-01      0.000e+00      9.007e-01      7.123e-01      5.135e-01      3.893e-01      3.273e-01      1.471e-01      
5.000e-03      9.847e-01      0.000e+00      9.032e-01      7.121e-01      5.168e-01      3.913e-01      3.207e-01      1.332e-01      
1.000e-02      9.800e-01      0.000e+00      8.985e-01      7.198e-01      5.266e-01      4.074e-01      3.351e-01      1.263e-01      
1.500e-02      9.753e-01      0.000e+00      8.924e-01      7.240e-01      5.407e-01      4.190e-01      3.454e-01      1.308e-01      
2.000e-02      9.694e-01      0.000e+00      8.858e-01      7.178e-01      5.456e-01      4.259e-01      3.499e-01      1.351e-01      
2.500e-02      9.627e-01      0.000e+00      8.793e-01      7.103e-01      5.436e-01      4.281e-01      3.500e-01      1.379e-01      
3.000e-02      9.550e-01      0.000e+00      8.723e-01      7.049e-01      5.370e-01      4.259e-01      3.481e-01      1.388e-01      
3.500e-02      9.466e-01      0.000e+00      8.648e-01      7.000e-01      5.317e-01      4.223e-01      3.446e-01      1.388e-01      
4.000e-02      9.373e-01      0.000e+00      8.566e-01      6.951e-01      5.276e-01      4.207e-01      3.424e-01      1.388e-01      
4.500e-02      9.278e-01      3.944e-05      8.477e-01      6.898e-01      5.239e-01      4.192e-01      3.412e-01      1.389e-01      
5.000e-02      9.178e-01      1.391e-03      8.381e-01      6.838e-01      5.199e-01      4.179e-01      3.403e-01      1.402e-01      
