resolution    Au0,5nmSi     Au1nmSi       Au2nmSi       Au3nmSi       Au4nmSi       Au5nmSi       
0.000e+00      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
1.000e-03      5.000e-01      1.000e+00      2.001e+00      2.787e+00      3.914e+00      4.920e+00      
2.000e-03      5.000e-01      1.000e+00      2.001e+00      2.789e+00      3.914e+00      4.920e+00      
5.000e-03      5.001e-01      1.000e+00      2.001e+00      2.809e+00      3.911e+00      4.915e+00      
8.000e-03      5.002e-01      1.000e+00      2.000e+00      2.834e+00      3.905e+00      4.906e+00      
1.000e-02      5.003e-01      1.000e+00      2.000e+00      2.849e+00      3.903e+00      4.897e+00      
1.200e-02      5.006e-01      1.001e+00      2.000e+00      2.861e+00      3.897e+00      4.886e+00      
1.500e-02      5.010e-01      1.001e+00      2.000e+00      2.876e+00      3.886e+00      4.875e+00      
2.000e-02      5.018e-01      1.002e+00      2.000e+00      2.893e+00      3.869e+00      4.855e+00      
2.500e-02      1.414e-01      1.003e+00      2.000e+00      2.906e+00      3.861e+00      4.838e+00      
3.000e-02      1.347e-01      1.005e+00      2.000e+00      2.918e+00      3.866e+00      4.821e+00      
3.500e-02      1.281e-01      1.007e+00      2.001e+00      2.941e+00      3.875e+00      4.809e+00      
4.000e-02      1.236e-01      1.009e+00      2.003e+00      2.968e+00      3.894e+00      4.806e+00      
4.500e-02      1.195e-01      1.011e+00      2.005e+00      3.000e+00      3.916e+00      4.809e+00      
5.000e-02      1.177e-01      1.013e+00      2.007e+00      3.045e+00      3.953e+00      4.818e+00      
