resolution    Au0,5nmSi     Au1nmSi       Au2nmSi       Au3nmSi       Au4nmSi       Au5nmSi       
0.000e+00      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
2.000e-03      5.000e-01      1.000e+00      2.000e+00      3.002e+00      4.000e+00      5.000e+00      
5.000e-03      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.003e+00      5.000e+00      
8.000e-03      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
1.000e-02      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.003e+00      
1.500e-02      5.001e-01      1.000e+00      2.000e+00      3.000e+00      4.003e+00      5.009e+00      
2.000e-02      4.999e-01      1.000e+00      2.000e+00      3.005e+00      4.000e+00      5.006e+00      
2.500e-02      4.996e-01      9.998e-01      2.000e+00      3.005e+00      4.017e+00      5.023e+00      
3.000e-02      4.994e-01      9.991e-01      1.999e+00      3.000e+00      4.033e+00      5.009e+00      
3.500e-02      4.994e-01      9.985e-01      1.997e+00      3.032e+00      4.011e+00      4.966e+00      
4.000e-02      1.508e-01      9.980e-01      1.995e+00      2.968e+00      3.964e+00      4.929e+00      
4.500e-02      1.515e-01      9.949e-01      1.988e+00      2.879e+00      4.025e+00      4.897e+00      
5.000e-02      5.037e-01      9.924e-01      1.980e+00      2.723e+00      3.953e+00      4.852e+00      
