resolution    Au0,5nmSi     Au1nmSi       Au2nmSi       Au3nmSi       Au4nmSi       Au5nmSi       
0.000e+00      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
1.000e-03      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
2.000e-03      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.003e+00      5.000e+00      
5.000e-03      1.495e-01      1.000e+00      2.000e+00      3.005e+00      4.003e+00      4.991e+00      
8.000e-03      1.473e-01      1.000e+00      2.000e+00      3.012e+00      4.006e+00      4.983e+00      
1.000e-02      1.452e-01      1.000e+00      1.999e+00      3.015e+00      4.003e+00      4.977e+00      
1.200e-02      1.434e-01      1.000e+00      1.999e+00      3.020e+00      4.003e+00      4.972e+00      
1.500e-02      1.413e-01      1.001e+00      1.999e+00      3.022e+00      3.992e+00      4.963e+00      
2.000e-02      1.406e-01      1.002e+00      1.998e+00      3.027e+00      3.981e+00      4.957e+00      
2.500e-02      1.402e-01      3.234e-01      1.998e+00      3.035e+00      3.975e+00      4.949e+00      
3.000e-02      1.396e-01      3.162e-01      1.998e+00      3.042e+00      3.981e+00      4.943e+00      
3.500e-02      1.388e-01      3.095e-01      1.999e+00      3.055e+00      3.992e+00      4.940e+00      
4.000e-02      1.376e-01      3.033e-01      2.001e+00      3.079e+00      4.011e+00      4.943e+00      
4.500e-02      1.356e-01      3.024e-01      2.002e+00      3.111e+00      4.039e+00      4.946e+00      
5.000e-02      -3.598e-01     3.017e-01      2.005e+00      3.156e+00      4.072e+00      4.957e+00      
