resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       Li90nmW       
0.000e+00      6.368e+00      1.832e+01      3.312e+01      4.123e+01      4.852e+01      2.067e+00      5.912e+01      7.223e+01      8.162e+01      8.347e+01      
2.000e-03      4.209e+00      1.727e+01      3.030e+01      4.072e+01      4.776e+01      2.025e+00      5.635e+01      6.843e+01      7.585e+01      6.293e+01      
5.000e-03      4.100e+00      1.602e+01      3.033e+01      4.071e+01      4.776e+01      3.083e+00      5.636e+01      6.843e+01      7.585e+01      6.291e+01      
8.000e-03      3.922e+00      1.680e+01      3.031e+01      4.071e+01      4.818e+01      2.542e+00      5.638e+01      6.843e+01      7.586e+01      6.287e+01      
1.000e-02      3.634e+00      1.644e+01      3.027e+01      4.070e+01      4.817e+01      2.445e+00      5.638e+01      6.845e+01      7.586e+01      6.285e+01      
1.500e-02      3.511e+00      1.654e+01      3.005e+01      4.064e+01      4.815e+01      2.235e+00      5.640e+01      6.670e+01      7.586e+01      6.283e+01      
2.000e-02      3.689e+00      1.659e+01      2.974e+01      4.064e+01      4.810e+01      2.081e+00      5.641e+01      6.670e+01      7.588e+01      6.282e+01      
2.500e-02      3.826e+00      1.655e+01      2.968e+01      4.069e+01      4.801e+01      1.941e+00      5.643e+01      6.669e+01      7.589e+01      6.279e+01      
3.000e-02      3.936e+00      1.650e+01      2.967e+01      4.072e+01      4.797e+01      1.857e+00      5.651e+01      6.770e+01      7.589e+01      6.274e+01      
3.500e-02      4.059e+00      1.644e+01      2.968e+01      4.073e+01      4.795e+01      1.815e+00      5.657e+01      6.838e+01      7.589e+01      6.268e+01      
4.000e-02      4.195e+00      1.641e+01      2.971e+01      4.073e+01      4.794e+01      1.800e+00      5.664e+01      6.836e+01      7.588e+01      6.262e+01      
4.500e-02      4.345e+00      1.638e+01      2.974e+01      4.073e+01      4.793e+01      1.815e+00      5.669e+01      6.827e+01      7.586e+01      6.256e+01      
5.000e-02      4.494e+00      1.637e+01      2.977e+01      4.073e+01      4.792e+01      1.843e+00      5.672e+01      6.804e+01      7.585e+01      6.250e+01      
