resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      9.753e+00      1.720e+01      2.597e+01      3.811e+01      5.335e+01      1.008e+01      6.353e+01      7.166e+01      7.545e+01      
2.000e-03      9.668e+00      1.718e+01      2.611e+01      3.815e+01      5.100e+01      1.009e+01      6.124e+01      6.904e+01      7.262e+01      
5.000e-03      9.623e+00      1.746e+01      2.602e+01      3.814e+01      5.328e+01      1.009e+01      6.359e+01      6.899e+01      7.259e+01      
8.000e-03      9.610e+00      1.726e+01      2.601e+01      3.817e+01      5.329e+01      1.006e+01      6.351e+01      7.059e+01      7.256e+01      
1.000e-02      9.675e+00      1.724e+01      2.600e+01      3.815e+01      5.326e+01      1.003e+01      6.353e+01      7.056e+01      7.271e+01      
1.500e-02      9.630e+00      1.722e+01      2.597e+01      3.815e+01      5.323e+01      1.008e+01      6.353e+01      7.166e+01      7.432e+01      
2.000e-02      9.604e+00      1.725e+01      2.599e+01      3.812e+01      5.310e+01      9.636e+00      6.352e+01      7.167e+01      7.462e+01      
2.500e-02      9.604e+00      1.730e+01      2.600e+01      3.808e+01      5.314e+01      9.740e+00      6.353e+01      7.168e+01      7.493e+01      
3.000e-02      9.617e+00      1.734e+01      2.588e+01      3.812e+01      5.314e+01      9.694e+00      6.350e+01      7.165e+01      7.541e+01      
3.500e-02      9.688e+00      1.730e+01      2.593e+01      3.812e+01      5.312e+01      9.792e+00      6.351e+01      7.166e+01      7.539e+01      
4.000e-02      9.759e+00      1.719e+01      2.593e+01      3.804e+01      5.311e+01      9.889e+00      6.348e+01      7.167e+01      7.536e+01      
4.500e-02      9.863e+00      1.720e+01      2.599e+01      3.799e+01      5.312e+01      1.013e+01      6.345e+01      7.164e+01      7.533e+01      
5.000e-02      1.010e+01      1.715e+01      2.608e+01      3.800e+01      5.307e+01      1.032e+01      6.343e+01      7.167e+01      7.538e+01      
