resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       Li90nmW       
0.000e+00      6.368e+00      1.827e+01      3.125e+01      4.125e+01      4.822e+01      4.886e+00      5.916e+01      7.225e+01      8.017e+01      8.346e+01      
2.000e-03      6.381e+00      1.826e+01      3.203e+01      4.126e+01      4.822e+01      4.886e+00      5.915e+01      7.225e+01      8.455e+01      8.509e+01      
5.000e-03      6.156e+00      1.808e+01      3.036e+01      4.126e+01      4.822e+01      4.927e+00      5.915e+01      7.225e+01      8.017e+01      8.346e+01      
8.000e-03      6.090e+00      1.788e+01      3.036e+01      4.126e+01      4.822e+01      4.805e+00      5.914e+01      7.225e+01      8.017e+01      8.346e+01      
1.000e-02      6.302e+00      1.779e+01      3.037e+01      4.126e+01      4.823e+01      4.453e+00      5.913e+01      7.225e+01      8.017e+01      8.346e+01      
1.500e-02      6.024e+00      1.785e+01      3.057e+01      4.126e+01      4.825e+01      3.703e+00      5.912e+01      7.223e+01      8.017e+01      8.346e+01      
2.000e-02      5.984e+00      1.789e+01      3.080e+01      4.123e+01      4.828e+01      3.744e+00      5.910e+01      7.220e+01      8.017e+01      8.347e+01      
2.500e-02      6.050e+00      1.797e+01      3.094e+01      4.121e+01      4.831e+01      3.799e+00      5.907e+01      7.218e+01      8.018e+01      8.509e+01      
3.000e-02      6.328e+00      1.806e+01      3.101e+01      4.120e+01      4.835e+01      3.895e+00      5.905e+01      7.210e+01      8.018e+01      8.509e+01      
3.500e-02      6.776e+00      1.816e+01      3.104e+01      4.120e+01      4.838e+01      4.031e+00      5.901e+01      7.198e+01      8.018e+01      8.509e+01      
4.000e-02      7.208e+00      1.822e+01      3.106e+01      4.121e+01      4.840e+01      4.181e+00      5.897e+01      7.192e+01      8.020e+01      8.509e+01      
4.500e-02      7.468e+00      1.827e+01      3.107e+01      4.123e+01      4.842e+01      4.331e+00      5.893e+01      7.191e+01      8.022e+01      8.509e+01      
5.000e-02      7.624e+00      1.833e+01      3.108e+01      4.125e+01      4.844e+01      4.467e+00      5.890e+01      7.188e+01      8.024e+01      8.509e+01      
