resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.254e+01      1.804e+01      3.036e+01      4.123e+01      4.828e+01      5.909e+01      7.194e+01      8.048e+01      
2.000e-03      6.342e+00      1.808e+01      3.037e+01      4.124e+01      4.828e+01      5.909e+01      7.194e+01      8.498e+01      
5.000e-03      6.103e+00      1.805e+01      3.037e+01      4.125e+01      4.822e+01      5.909e+01      7.192e+01      8.048e+01      
8.000e-03      6.117e+00      1.785e+01      3.036e+01      4.126e+01      4.822e+01      5.910e+01      7.192e+01      8.046e+01      
1.000e-02      6.355e+00      1.778e+01      3.036e+01      4.126e+01      4.823e+01      5.910e+01      7.192e+01      8.046e+01      
1.500e-02      6.024e+00      1.785e+01      3.057e+01      4.126e+01      4.825e+01      5.910e+01      7.192e+01      8.046e+01      
2.000e-02      5.984e+00      1.789e+01      3.080e+01      4.123e+01      4.828e+01      5.909e+01      7.192e+01      8.045e+01      
2.500e-02      6.050e+00      1.797e+01      3.094e+01      4.121e+01      4.832e+01      5.907e+01      7.192e+01      8.043e+01      
3.000e-02      6.328e+00      1.806e+01      3.101e+01      4.120e+01      4.835e+01      5.903e+01      7.192e+01      8.041e+01      
3.500e-02      6.776e+00      1.816e+01      3.104e+01      4.120e+01      4.838e+01      5.900e+01      7.192e+01      8.039e+01      
4.000e-02      7.208e+00      1.822e+01      3.106e+01      4.121e+01      4.840e+01      5.896e+01      7.192e+01      8.038e+01      
4.500e-02      7.468e+00      1.827e+01      3.107e+01      4.123e+01      4.842e+01      5.892e+01      7.191e+01      8.038e+01      
5.000e-02      7.624e+00      1.833e+01      3.108e+01      4.125e+01      4.844e+01      5.889e+01      7.188e+01      8.036e+01      
