resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.193e+01      1.850e+01      3.036e+01      4.132e+01      4.828e+01      5.890e+01      7.177e+01      8.053e+01      
2.000e-03      1.190e+01      1.849e+01      3.035e+01      4.132e+01      4.831e+01      5.777e+01      6.602e+01      7.605e+01      
5.000e-03      1.181e+01      1.761e+01      3.032e+01      4.132e+01      4.827e+01      5.891e+01      7.116e+01      7.599e+01      
8.000e-03      1.166e+01      1.759e+01      3.032e+01      4.131e+01      4.827e+01      5.889e+01      7.177e+01      7.946e+01      
1.000e-02      1.165e+01      1.757e+01      3.033e+01      4.130e+01      4.828e+01      5.889e+01      7.184e+01      8.031e+01      
1.500e-02      1.159e+01      1.771e+01      3.037e+01      4.130e+01      4.829e+01      5.887e+01      7.175e+01      8.067e+01      
2.000e-02      1.153e+01      1.771e+01      3.041e+01      4.129e+01      4.829e+01      5.882e+01      7.174e+01      8.057e+01      
2.500e-02      1.165e+01      1.794e+01      3.048e+01      4.130e+01      4.829e+01      5.881e+01      7.172e+01      8.052e+01      
3.000e-02      1.184e+01      1.737e+01      3.053e+01      4.129e+01      4.829e+01      5.882e+01      7.168e+01      8.053e+01      
3.500e-02      1.191e+01      1.759e+01      3.045e+01      4.127e+01      4.831e+01      5.883e+01      7.147e+01      8.053e+01      
4.000e-02      6.999e+00      1.746e+01      3.046e+01      4.128e+01      4.833e+01      5.885e+01      7.150e+01      8.053e+01      
4.500e-02      5.370e+00      1.745e+01      3.052e+01      4.130e+01      4.831e+01      5.887e+01      7.152e+01      8.053e+01      
5.000e-02      7.077e+00      1.792e+01      3.047e+01      4.129e+01      4.831e+01      5.890e+01      7.131e+01      8.055e+01      
