resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.193e+01      1.850e+01      3.036e+01      4.132e+01      4.828e+01      5.890e+01      7.177e+01      8.053e+01      
2.000e-03      1.183e+01      1.762e+01      3.034e+01      4.132e+01      4.828e+01      5.890e+01      7.177e+01      8.509e+01      
5.000e-03      1.161e+01      1.759e+01      3.035e+01      4.130e+01      4.828e+01      5.889e+01      7.177e+01      8.053e+01      
8.000e-03      1.155e+01      1.771e+01      3.038e+01      4.129e+01      4.829e+01      5.887e+01      7.175e+01      8.053e+01      
1.000e-02      1.154e+01      1.778e+01      3.039e+01      4.127e+01      4.829e+01      5.886e+01      7.175e+01      8.053e+01      
1.500e-02      6.037e+00      1.785e+01      3.059e+01      4.125e+01      4.829e+01      5.883e+01      7.171e+01      8.053e+01      
2.000e-02      5.984e+00      1.789e+01      3.080e+01      4.122e+01      4.831e+01      5.883e+01      7.164e+01      8.053e+01      
2.500e-02      6.050e+00      1.797e+01      3.094e+01      4.120e+01      4.833e+01      5.885e+01      7.147e+01      8.053e+01      
3.000e-02      6.328e+00      1.807e+01      3.101e+01      4.119e+01      4.836e+01      5.886e+01      7.140e+01      8.055e+01      
3.500e-02      6.789e+00      1.816e+01      3.104e+01      4.120e+01      4.839e+01      5.887e+01      7.139e+01      8.055e+01      
4.000e-02      7.208e+00      1.822e+01      3.106e+01      4.121e+01      4.841e+01      5.888e+01      7.140e+01      8.055e+01      
4.500e-02      7.468e+00      1.827e+01      3.107e+01      4.123e+01      4.842e+01      5.888e+01      7.140e+01      8.055e+01      
5.000e-02      7.624e+00      1.833e+01      3.108e+01      4.125e+01      4.844e+01      5.887e+01      7.140e+01      8.055e+01      
