resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      
0.000e+00      1.977e-01      2.521e-01      2.058e-01      4.152e-01      4.721e-01      
2.000e-03      1.209e-02      2.460e-02      1.200e-01      1.034e-01      1.938e-01      
5.000e-03      1.154e-02      2.540e-02      1.206e-01      1.045e-01      1.950e-01      
1.000e-02      1.137e-02      2.731e-02      1.221e-01      1.107e-01      2.028e-01      
1.500e-02      1.219e-02      2.997e-02      1.240e-01      1.216e-01      2.159e-01      
2.000e-02      1.364e-02      3.334e-02      1.263e-01      1.347e-01      2.309e-01      
2.500e-02      1.542e-02      3.717e-02      1.290e-01      1.483e-01      2.458e-01      
3.000e-02      1.731e-02      4.122e-02      1.318e-01      1.614e-01      2.598e-01      
3.500e-02      1.917e-02      4.524e-02      1.345e-01      1.736e-01      2.727e-01      
4.000e-02      2.090e-02      4.906e-02      1.368e-01      1.847e-01      2.845e-01      
4.500e-02      2.247e-02      5.252e-02      1.387e-01      1.945e-01      2.955e-01      
5.000e-02      2.383e-02      5.554e-02      1.400e-01      2.032e-01      3.060e-01      
