resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      
0.000e+00      1.432e-01      2.640e-01      1.000e+00      6.655e-01      8.522e-01      
2.000e-03      1.038e-02      2.484e-02      1.000e+00      1.274e-01      2.980e-01      
5.000e-03      1.065e-02      2.562e-02      1.000e+00      1.291e-01      2.999e-01      
1.000e-02      1.147e-02      2.771e-02      1.000e+00      1.383e-01      3.165e-01      
1.500e-02      1.264e-02      3.079e-02      1.000e+00      1.548e-01      3.464e-01      
2.000e-02      1.410e-02      3.464e-02      1.000e+00      1.755e-01      3.821e-01      
2.500e-02      1.577e-02      3.892e-02      1.000e+00      1.976e-01      4.178e-01      
3.000e-02      1.751e-02      4.335e-02      1.000e+00      2.192e-01      4.507e-01      
3.500e-02      1.922e-02      4.766e-02      1.000e+00      2.391e-01      4.792e-01      
4.000e-02      2.083e-02      5.169e-02      1.000e+00      2.566e-01      5.029e-01      
4.500e-02      2.228e-02      5.527e-02      1.000e+00      2.713e-01      5.221e-01      
5.000e-02      2.353e-02      5.833e-02      1.000e+00      2.832e-01      5.370e-01      
