resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      H70D20W10     
0.000e+00      1.446e-01      2.273e-01      2.013e-01      3.959e-01      4.649e-01      7.007e-01      
2.000e-03      1.290e-02      2.706e-02      1.168e-01      1.035e-01      1.923e-01      2.860e-01      
5.000e-03      1.264e-02      2.763e-02      1.164e-01      1.067e-01      1.960e-01      2.936e-01      
1.000e-02      1.269e-02      2.987e-02      1.173e-01      1.170e-01      2.090e-01      3.180e-01      
1.500e-02      1.360e-02      3.322e-02      1.231e-01      1.322e-01      2.288e-01      3.498e-01      
2.000e-02      1.507e-02      3.717e-02      1.324e-01      1.494e-01      2.513e-01      3.826e-01      
2.500e-02      1.680e-02      4.137e-02      1.432e-01      1.666e-01      2.737e-01      4.131e-01      
3.000e-02      1.858e-02      4.556e-02      1.544e-01      1.828e-01      2.948e-01      4.402e-01      
3.500e-02      2.026e-02      4.953e-02      1.657e-01      1.976e-01      3.143e-01      4.638e-01      
4.000e-02      2.177e-02      5.315e-02      1.771e-01      2.109e-01      3.320e-01      4.838e-01      
4.500e-02      2.308e-02      5.630e-02      1.883e-01      2.223e-01      3.478e-01      5.004e-01      
5.000e-02      2.415e-02      5.892e-02      1.995e-01      2.320e-01      3.617e-01      5.141e-01      
