resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      
0.000e+00      1.616e-01      2.657e-01      1.000e+00      6.633e-01      8.517e-01      
2.000e-03      2.675e-02      6.121e-02      1.000e+00      2.722e-01      5.223e-01      
5.000e-03      5.564e-02      1.262e-01      1.000e+00      4.594e-01      7.116e-01      
1.000e-02      1.321e-01      2.517e-01      1.000e+00      6.510e-01      8.436e-01      
1.500e-02      1.473e-01      2.693e-01      1.000e+00      6.661e-01      8.518e-01      
2.000e-02      1.525e-01      2.719e-01      1.000e+00      6.640e-01      8.496e-01      
2.500e-02      1.556e-01      2.743e-01      1.000e+00      6.645e-01      8.494e-01      
3.000e-02      1.577e-01      2.791e-01      1.000e+00      6.704e-01      8.525e-01      
3.500e-02      1.650e-01      2.908e-01      1.000e+00      6.849e-01      8.608e-01      
4.000e-02      1.714e-01      3.022e-01      1.000e+00      6.984e-01      8.683e-01      
4.500e-02      1.793e-01      3.164e-01      1.000e+00      7.142e-01      8.770e-01      
5.000e-02      1.886e-01      3.320e-01      1.000e+00      7.295e-01      8.853e-01      
