resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      
0.000e+00      1.432e-01      2.640e-01      1.000e+00      6.655e-01      8.522e-01      
2.000e-03      2.783e-02      6.133e-02      1.000e+00      2.751e-01      5.259e-01      
5.000e-03      5.802e-02      1.291e-01      1.000e+00      4.657e-01      7.186e-01      
1.000e-02      1.340e-01      2.538e-01      1.000e+00      6.546e-01      8.455e-01      
1.500e-02      1.506e-01      2.715e-01      1.000e+00      6.683e-01      8.528e-01      
2.000e-02      1.552e-01      2.754e-01      1.000e+00      6.680e-01      8.519e-01      
2.500e-02      1.580e-01      2.779e-01      1.000e+00      6.686e-01      8.518e-01      
3.000e-02      1.604e-01      2.829e-01      1.000e+00      6.746e-01      8.549e-01      
3.500e-02      1.668e-01      2.938e-01      1.000e+00      6.876e-01      8.623e-01      
4.000e-02      1.729e-01      3.049e-01      1.000e+00      7.007e-01      8.696e-01      
4.500e-02      1.808e-01      3.190e-01      1.000e+00      7.162e-01      8.781e-01      
5.000e-02      1.897e-01      3.339e-01      1.000e+00      7.309e-01      8.860e-01      
