resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      H70D20W10     
0.000e+00      1.446e-01      2.273e-01      2.013e-01      3.959e-01      4.649e-01      7.007e-01      
2.000e-03      1.250e-01      2.107e-01      1.867e-01      3.729e-01      4.416e-01      6.806e-01      
5.000e-03      1.413e-01      2.287e-01      2.002e-01      3.946e-01      4.633e-01      7.000e-01      
1.000e-02      1.400e-01      2.287e-01      2.039e-01      3.980e-01      4.694e-01      7.005e-01      
1.500e-02      1.383e-01      2.277e-01      2.010e-01      3.932e-01      4.599e-01      7.012e-01      
2.000e-02      1.353e-01      2.276e-01      1.919e-01      3.836e-01      4.511e-01      6.983e-01      
2.500e-02      1.353e-01      2.302e-01      1.904e-01      3.856e-01      4.530e-01      7.003e-01      
3.000e-02      1.394e-01      2.383e-01      1.938e-01      3.979e-01      4.598e-01      7.072e-01      
3.500e-02      1.449e-01      2.517e-01      2.009e-01      4.170e-01      4.753e-01      7.200e-01      
4.000e-02      1.522e-01      2.689e-01      2.044e-01      4.333e-01      4.861e-01      7.325e-01      
4.500e-02      1.691e-01      3.039e-01      2.023e-01      4.521e-01      4.924e-01      7.504e-01      
5.000e-02      2.180e-01      3.730e-01      2.011e-01      4.742e-01      4.998e-01      7.697e-01      
