resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      
0.000e+00      1.616e-01      2.657e-01      1.000e+00      6.633e-01      8.517e-01      
2.000e-03      1.585e-01      2.680e-01      1.000e+00      6.635e-01      8.518e-01      
5.000e-03      1.541e-01      2.747e-01      1.000e+00      6.665e-01      8.530e-01      
1.000e-02      1.542e-01      2.904e-01      1.000e+00      6.839e-01      8.624e-01      
1.500e-02      1.641e-01      3.115e-01      1.000e+00      7.118e-01      8.775e-01      
2.000e-02      1.798e-01      3.365e-01      1.000e+00      7.415e-01      8.928e-01      
2.500e-02      1.982e-01      3.632e-01      1.000e+00      7.682e-01      9.060e-01      
3.000e-02      2.169e-01      3.894e-01      1.000e+00      7.908e-01      9.167e-01      
3.500e-02      2.347e-01      4.137e-01      1.000e+00      8.091e-01      9.252e-01      
4.000e-02      2.509e-01      4.352e-01      1.000e+00      8.237e-01      9.317e-01      
4.500e-02      2.652e-01      4.536e-01      1.000e+00      8.349e-01      9.366e-01      
5.000e-02      2.776e-01      4.688e-01      1.000e+00      8.434e-01      9.403e-01      
