resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      
0.000e+00      1.432e-01      2.640e-01      1.000e+00      6.655e-01      8.522e-01      
2.000e-03      1.440e-01      2.657e-01      1.000e+00      6.657e-01      8.523e-01      
5.000e-03      1.471e-01      2.721e-01      1.000e+00      6.691e-01      8.534e-01      
1.000e-02      1.566e-01      2.884e-01      1.000e+00      6.865e-01      8.629e-01      
1.500e-02      1.696e-01      3.112e-01      1.000e+00      7.142e-01      8.781e-01      
2.000e-02      1.854e-01      3.379e-01      1.000e+00      7.439e-01      8.936e-01      
2.500e-02      2.028e-01      3.656e-01      1.000e+00      7.706e-01      9.070e-01      
3.000e-02      2.204e-01      3.921e-01      1.000e+00      7.930e-01      9.177e-01      
3.500e-02      2.373e-01      4.162e-01      1.000e+00      8.110e-01      9.260e-01      
4.000e-02      2.528e-01      4.375e-01      1.000e+00      8.251e-01      9.323e-01      
4.500e-02      2.666e-01      4.556e-01      1.000e+00      8.360e-01      9.371e-01      
5.000e-02      2.787e-01      4.706e-01      1.000e+00      8.443e-01      9.407e-01      
