resolution    H10D10W80     H20D20W60     H20D80W0      H40D40W20     H46D46W8      H70D20W10     
0.000e+00      1.446e-01      2.273e-01      2.013e-01      3.959e-01      4.649e-01      7.007e-01      
2.000e-03      1.444e-01      2.281e-01      2.011e-01      3.966e-01      4.648e-01      7.013e-01      
5.000e-03      1.435e-01      2.317e-01      2.005e-01      3.992e-01      4.658e-01      7.051e-01      
1.000e-02      1.452e-01      2.434e-01      2.019e-01      4.116e-01      4.730e-01      7.182e-01      
1.500e-02      1.538e-01      2.605e-01      2.104e-01      4.339e-01      4.907e-01      7.359e-01      
2.000e-02      1.667e-01      2.801e-01      2.240e-01      4.601e-01      5.131e-01      7.543e-01      
2.500e-02      1.811e-01      2.999e-01      2.391e-01      4.853e-01      5.356e-01      7.713e-01      
3.000e-02      1.953e-01      3.189e-01      2.546e-01      5.084e-01      5.568e-01      7.862e-01      
3.500e-02      2.083e-01      3.365e-01      2.698e-01      5.291e-01      5.764e-01      7.992e-01      
4.000e-02      2.199e-01      3.525e-01      2.847e-01      5.476e-01      5.942e-01      8.104e-01      
4.500e-02      2.300e-01      3.667e-01      2.991e-01      5.639e-01      6.105e-01      8.202e-01      
5.000e-02      2.386e-01      3.790e-01      3.129e-01      5.784e-01      6.251e-01      8.288e-01      
