resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li70nmW       Li80nmW       
0.000e+00      6.368e+00      1.827e+01      3.125e+01      4.125e+01      4.822e+01      5.916e+01      7.225e+01      8.017e+01      
1.000e-03      4.236e+00      1.728e+01      3.028e+01      4.072e+01      4.777e+01      5.638e+01      6.670e+01      8.017e+01      
2.000e-03      4.222e+00      1.724e+01      3.029e+01      4.071e+01      4.777e+01      5.638e+01      6.670e+01      7.594e+01      
5.000e-03      4.100e+00      1.602e+01      3.034e+01      4.071e+01      4.776e+01      5.638e+01      6.670e+01      7.592e+01      
8.000e-03      3.922e+00      1.680e+01      3.031e+01      4.071e+01      4.817e+01      5.638e+01      6.670e+01      7.592e+01      
1.000e-02      3.634e+00      1.644e+01      3.027e+01      4.070e+01      4.817e+01      5.639e+01      6.670e+01      7.592e+01      
1.200e-02      3.470e+00      1.649e+01      3.021e+01      4.068e+01      4.816e+01      5.640e+01      6.670e+01      7.592e+01      
1.500e-02      3.525e+00      1.655e+01      3.005e+01      4.064e+01      4.815e+01      5.641e+01      6.670e+01      7.592e+01      
2.000e-02      3.703e+00      1.659e+01      2.974e+01      4.065e+01      4.811e+01      5.641e+01      6.670e+01      7.592e+01      
2.500e-02      3.826e+00      1.657e+01      2.968e+01      4.069e+01      4.801e+01      5.643e+01      6.670e+01      7.591e+01      
3.000e-02      3.949e+00      1.651e+01      2.967e+01      4.072e+01      4.797e+01      5.651e+01      6.769e+01      7.591e+01      
3.500e-02      4.072e+00      1.646e+01      2.968e+01      4.073e+01      4.796e+01      5.658e+01      6.840e+01      7.589e+01      
4.000e-02      4.209e+00      1.641e+01      2.971e+01      4.073e+01      4.794e+01      5.664e+01      6.836e+01      7.588e+01      
4.500e-02      4.358e+00      1.639e+01      2.974e+01      4.073e+01      4.793e+01      5.669e+01      6.827e+01      7.586e+01      
5.000e-02      4.508e+00      1.638e+01      2.978e+01      4.074e+01      4.792e+01      5.672e+01      6.804e+01      7.585e+01      
