resolution    Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li80nmW       
0.000e+00      1.804e+01      3.036e+01      4.123e+01      4.828e+01      5.909e+01      8.050e+01      
1.000e-03      1.596e+01      3.036e+01      4.121e+01      4.816e+01      5.642e+01      8.048e+01      
2.000e-03      1.596e+01      3.036e+01      4.079e+01      4.816e+01      5.642e+01      7.577e+01      
5.000e-03      1.703e+01      3.034e+01      4.073e+01      4.816e+01      5.642e+01      7.577e+01      
8.000e-03      1.673e+01      3.030e+01      4.072e+01      4.817e+01      5.641e+01      7.577e+01      
1.000e-02      1.644e+01      3.026e+01      4.070e+01      4.817e+01      5.641e+01      7.575e+01      
1.200e-02      1.649e+01      3.020e+01      4.067e+01      4.816e+01      5.641e+01      7.575e+01      
1.500e-02      1.655e+01      3.004e+01      4.064e+01      4.815e+01      5.641e+01      7.575e+01      
2.000e-02      1.659e+01      2.974e+01      4.065e+01      4.810e+01      5.642e+01      7.575e+01      
2.500e-02      1.657e+01      2.968e+01      4.069e+01      4.801e+01      5.645e+01      7.575e+01      
3.000e-02      1.651e+01      2.967e+01      4.072e+01      4.797e+01      5.652e+01      7.578e+01      
3.500e-02      1.646e+01      2.968e+01      4.073e+01      4.796e+01      5.658e+01      7.580e+01      
4.000e-02      1.641e+01      2.971e+01      4.073e+01      4.794e+01      5.664e+01      7.581e+01      
4.500e-02      1.639e+01      2.974e+01      4.073e+01      4.793e+01      5.670e+01      7.583e+01      
5.000e-02      1.638e+01      2.978e+01      4.074e+01      4.792e+01      5.673e+01      7.583e+01      
