resolution    Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li80nmW       
0.000e+00      1.820e+01      3.039e+01      4.126e+01      4.821e+01      5.910e+01      8.089e+01      
5.000e-03      1.798e+01      3.038e+01      4.126e+01      4.822e+01      5.909e+01      7.599e+01      
8.000e-03      1.804e+01      3.037e+01      4.128e+01      4.822e+01      5.910e+01      7.946e+01      
1.000e-02      1.805e+01      3.037e+01      4.128e+01      4.823e+01      5.910e+01      8.008e+01      
1.200e-02      1.788e+01      3.037e+01      4.127e+01      4.822e+01      5.911e+01      8.094e+01      
1.500e-02      1.774e+01      3.037e+01      4.127e+01      4.823e+01      5.910e+01      8.090e+01      
2.000e-02      1.766e+01      3.040e+01      4.130e+01      4.822e+01      5.907e+01      8.083e+01      
2.500e-02      1.794e+01      3.049e+01      4.131e+01      4.824e+01      5.907e+01      8.087e+01      
3.000e-02      1.824e+01      3.053e+01      4.130e+01      4.826e+01      5.907e+01      8.089e+01      
3.500e-02      1.760e+01      3.045e+01      4.127e+01      4.831e+01      5.907e+01      8.087e+01      
4.000e-02      1.745e+01      3.046e+01      4.129e+01      4.834e+01      5.908e+01      8.087e+01      
5.000e-02      1.792e+01      3.047e+01      4.130e+01      4.831e+01      5.910e+01      8.085e+01      
