resolution    H20W80        H30W70        H40W60        H50W50        H60W40        H70W30        H80W20        
0.000e+00      7.806e-03      1.684e-02      2.700e-02      4.564e-02      8.815e-02      1.440e-01      2.060e-01      
2.000e-03      3.400e-03      7.379e-03      1.188e-02      2.031e-02      3.997e-02      6.804e-02      1.017e-01      
5.000e-03      1.417e-03      3.102e-03      4.979e-03      8.575e-03      1.685e-02      2.952e-02      4.568e-02      
8.000e-03      8.285e-04      1.923e-03      3.074e-03      5.428e-03      1.083e-02      1.981e-02      3.079e-02      
1.000e-02      6.704e-04      1.630e-03      2.601e-03      4.753e-03      9.657e-03      1.790e-02      2.748e-02      
1.500e-02      6.670e-04      1.669e-03      2.664e-03      4.981e-03      1.021e-02      1.918e-02      2.923e-02      
2.000e-02      7.235e-04      1.819e-03      2.939e-03      5.505e-03      1.128e-02      2.127e-02      3.240e-02      
2.500e-02      7.752e-04      1.955e-03      3.196e-03      5.981e-03      1.229e-02      2.317e-02      3.540e-02      
3.000e-02      8.212e-04      2.074e-03      3.434e-03      6.418e-03      1.328e-02      2.491e-02      3.818e-02      
3.500e-02      8.614e-04      2.182e-03      3.658e-03      6.821e-03      1.421e-02      2.650e-02      4.073e-02      
4.000e-02      8.968e-04      2.278e-03      3.867e-03      7.191e-03      1.507e-02      2.794e-02      4.304e-02      
4.500e-02      9.272e-04      2.364e-03      4.059e-03      7.528e-03      1.586e-02      2.922e-02      4.512e-02      
5.000e-02      9.527e-04      2.442e-03      4.233e-03      7.830e-03      1.656e-02      3.037e-02      4.696e-02      
