resolution    H20W80        H30W70        H40W60        H50W50        H60W40        H70W30        H80W20        
0.000e+00      7.806e-03      1.684e-02      2.700e-02      4.564e-02      8.815e-02      1.440e-01      2.060e-01      
2.000e-03      4.177e-02      8.247e-02      1.300e-01      2.021e-01      3.324e-01      4.526e-01      5.645e-01      
5.000e-03      1.754e-02      3.499e-02      5.702e-02      9.340e-02      1.682e-01      2.514e-01      3.475e-01      
8.000e-03      1.029e-02      2.134e-02      3.491e-02      5.789e-02      1.095e-01      1.720e-01      2.473e-01      
1.000e-02      8.456e-03      1.806e-02      2.927e-02      4.883e-02      9.351e-02      1.513e-01      2.185e-01      
1.500e-02      7.895e-03      1.698e-02      2.707e-02      4.562e-02      8.637e-02      1.421e-01      2.055e-01      
2.000e-02      7.849e-03      1.702e-02      2.694e-02      4.541e-02      8.603e-02      1.427e-01      2.081e-01      
2.500e-02      8.081e-03      1.764e-02      2.772e-02      4.665e-02      8.793e-02      1.469e-01      2.143e-01      
3.000e-02      8.381e-03      1.836e-02      2.907e-02      4.902e-02      9.165e-02      1.552e-01      2.256e-01      
3.500e-02      8.670e-03      1.902e-02      3.034e-02      5.174e-02      9.603e-02      1.632e-01      2.365e-01      
4.000e-02      9.096e-03      2.017e-02      3.278e-02      5.627e-02      1.049e-01      1.798e-01      2.569e-01      
4.500e-02      1.036e-02      2.320e-02      3.839e-02      6.678e-02      1.228e-01      2.110e-01      2.979e-01      
5.000e-02      1.202e-02      2.708e-02      4.484e-02      7.467e-02      1.333e-01      2.296e-01      3.262e-01      
