resolution    H20W80        H30W70        H40W60        H50W50        H60W40        H70W30        H80W20        
0.000e+00      7.806e-03      1.684e-02      2.700e-02      4.564e-02      8.815e-02      1.440e-01      2.060e-01      
2.000e-03      4.342e-02      8.440e-02      1.331e-01      2.073e-01      3.382e-01      4.596e-01      5.752e-01      
5.000e-03      1.855e-02      3.718e-02      6.003e-02      9.837e-02      1.738e-01      2.618e-01      3.643e-01      
8.000e-03      1.154e-02      2.418e-02      3.914e-02      6.511e-02      1.198e-01      1.917e-01      2.778e-01      
1.000e-02      9.838e-03      2.133e-02      3.425e-02      5.748e-02      1.071e-01      1.773e-01      2.570e-01      
1.500e-02      1.006e-02      2.215e-02      3.550e-02      6.038e-02      1.119e-01      1.882e-01      2.695e-01      
2.000e-02      1.096e-02      2.416e-02      3.906e-02      6.646e-02      1.225e-01      2.052e-01      2.906e-01      
2.500e-02      1.179e-02      2.601e-02      4.239e-02      7.199e-02      1.326e-01      2.204e-01      3.097e-01      
3.000e-02      1.256e-02      2.771e-02      4.551e-02      7.721e-02      1.422e-01      2.341e-01      3.266e-01      
3.500e-02      1.328e-02      2.931e-02      4.848e-02      8.215e-02      1.511e-01      2.464e-01      3.415e-01      
4.000e-02      1.398e-02      3.080e-02      5.127e-02      8.674e-02      1.593e-01      2.573e-01      3.547e-01      
4.500e-02      1.464e-02      3.221e-02      5.386e-02      9.097e-02      1.667e-01      2.671e-01      3.662e-01      
5.000e-02      1.525e-02      3.359e-02      5.625e-02      9.482e-02      1.734e-01      2.757e-01      3.762e-01      
