resolution    H20W80        H30W70        H40W60        H50W50        H60W40        H70W30        H80W20        
0.000e+00      3.936e-02      8.189e-02      1.263e-01      1.994e-01      3.349e-01      4.671e-01      5.747e-01      
2.000e-03      4.065e-02      8.380e-02      1.321e-01      2.088e-01      3.472e-01      4.801e-01      5.866e-01      
5.000e-03      4.245e-02      8.626e-02      1.309e-01      2.098e-01      3.467e-01      4.814e-01      5.859e-01      
8.000e-03      4.862e-02      9.720e-02      1.508e-01      2.310e-01      3.715e-01      5.030e-01      6.135e-01      
1.000e-02      4.003e-02      8.317e-02      1.294e-01      2.035e-01      3.361e-01      4.695e-01      5.825e-01      
1.200e-02      4.046e-02      8.252e-02      1.283e-01      2.026e-01      3.342e-01      4.677e-01      5.774e-01      
1.500e-02      3.959e-02      8.264e-02      1.272e-01      2.011e-01      3.329e-01      4.673e-01      5.798e-01      
2.000e-02      4.050e-02      8.520e-02      1.298e-01      2.041e-01      3.349e-01      4.744e-01      5.887e-01      
2.500e-02      4.180e-02      8.764e-02      1.329e-01      2.092e-01      3.414e-01      4.838e-01      5.979e-01      
3.000e-02      4.235e-02      8.920e-02      1.363e-01      2.148e-01      3.483e-01      4.929e-01      6.067e-01      
3.500e-02      4.328e-02      9.122e-02      1.396e-01      2.206e-01      3.554e-01      5.019e-01      6.148e-01      
4.000e-02      4.422e-02      9.362e-02      1.438e-01      2.261e-01      3.633e-01      5.120e-01      6.239e-01      
4.500e-02      4.557e-02      9.585e-02      1.466e-01      2.314e-01      3.713e-01      5.204e-01      6.326e-01      
5.000e-02      4.649e-02      9.809e-02      1.501e-01      2.372e-01      3.802e-01      5.298e-01      6.420e-01      
